True Cost 	Penalty 	Adjusted Cost
8.172250E+00	0.000000E+00	8.172250E+00
9.199530E+00	0.000000E+00	9.199530E+00
8.261360E+00	0.000000E+00	8.261360E+00
1.112180E+01	0.000000E+00	1.112180E+01
8.261360E+00	0.000000E+00	8.261360E+00
9.998210E+00	0.000000E+00	9.998210E+00
1.262800E+01	0.000000E+00	1.262800E+01
1.256740E+01	0.000000E+00	1.256740E+01
1.138900E+01	0.000000E+00	1.138900E+01
1.915760E+01	0.000000E+00	1.915760E+01
1.138900E+01	0.000000E+00	1.138900E+01
2.373560E+01	0.000000E+00	2.373560E+01
2.369350E+01	0.000000E+00	2.369350E+01
2.138870E+01	0.000000E+00	2.138870E+01
2.363970E+01	0.000000E+00	2.363970E+01
2.369350E+01	0.000000E+00	2.369350E+01
2.368890E+01	0.000000E+00	2.368890E+01
2.368890E+01	0.000000E+00	2.368890E+01
2.368890E+01	0.000000E+00	2.368890E+01
1.094480E+01	0.000000E+00	1.094480E+01
1.941480E+01	0.000000E+00	1.941480E+01
1.214980E+01	0.000000E+00	1.214980E+01
1.100760E+01	0.000000E+00	1.100760E+01
8.705460E+00	0.000000E+00	8.705460E+00
9.475270E+00	0.000000E+00	9.475270E+00
9.484390E+00	0.000000E+00	9.484390E+00
9.484540E+00	0.000000E+00	9.484540E+00
8.145340E+00	0.000000E+00	8.145340E+00
1.051430E+01	0.000000E+00	1.051430E+01
9.484540E+00	0.000000E+00	9.484540E+00
1.110030E+01	0.000000E+00	1.110030E+01
2.013870E+01	0.000000E+00	2.013870E+01
1.110030E+01	0.000000E+00	1.110030E+01
1.117540E+01	0.000000E+00	1.117540E+01
1.109980E+01	0.000000E+00	1.109980E+01
1.109980E+01	0.000000E+00	1.109980E+01
1.123580E+01	0.000000E+00	1.123580E+01
1.098980E+01	0.000000E+00	1.098980E+01
1.103080E+01	0.000000E+00	1.103080E+01
9.342830E+00	0.000000E+00	9.342830E+00
9.074680E+00	0.000000E+00	9.074680E+00
9.469080E+00	0.000000E+00	9.469080E+00
9.241430E+00	0.000000E+00	9.241430E+00
9.344890E+00	0.000000E+00	9.344890E+00
2.741680E+01	0.000000E+00	2.741680E+01
2.739630E+01	0.000000E+00	2.739630E+01
2.748230E+01	0.000000E+00	2.748230E+01
2.722010E+01	0.000000E+00	2.722010E+01
2.738670E+01	0.000000E+00	2.738670E+01
9.344250E+00	0.000000E+00	9.344250E+00
2.627640E+01	0.000000E+00	2.627640E+01
2.738680E+01	0.000000E+00	2.738680E+01
2.653500E+01	0.000000E+00	2.653500E+01
