Run   NSE           RMSE          KGE           AbsPBIAS      par_POROSITY  par_HBV_BETA  par_FAST_BASEFLOW  par_MAX_PERC  par_MELT      par_SLOW_BASEFLOW  
163   2.952940E-01  1.358940E+01  6.310200E-01  1.110030E+01  5.000000E-02  5.000000E-01  7.226334E-01  4.299122E+01  6.988878E+00  9.503831E-02  
164   2.938600E-01  1.360320E+01  5.886740E-01  2.013870E+01  8.707994E-02  5.000000E-01  7.226334E-01  4.299122E+01  6.988878E+00  9.503831E-02  
165   2.952940E-01  1.358940E+01  6.310200E-01  1.110030E+01  5.000000E-02  5.000000E-01  7.226334E-01  4.299122E+01  6.988878E+00  9.503831E-02  
166   2.934740E-01  1.360700E+01  6.233610E-01  1.117540E+01  5.000000E-02  5.000000E-01  7.226334E-01  4.913456E+01  6.988878E+00  9.503831E-02  
167   2.952900E-01  1.358950E+01  6.310240E-01  1.109980E+01  5.000000E-02  5.000000E-01  8.000000E-01  4.299122E+01  6.988878E+00  9.503831E-02  
168   2.952900E-01  1.358950E+01  6.310240E-01  1.109980E+01  5.000000E-02  5.000000E-01  8.000000E-01  4.299122E+01  6.988878E+00  9.503831E-02  
169   2.783510E-01  1.375180E+01  6.123250E-01  1.123580E+01  5.000000E-02  5.000000E-01  8.000000E-01  5.668448E+01  6.988878E+00  9.503831E-02  
170   2.749640E-01  1.378400E+01  6.236380E-01  1.098980E+01  5.000000E-02  5.000000E-01  8.000000E-01  4.299122E+01  5.691095E+00  9.503831E-02  
171   2.730170E-01  1.380250E+01  6.213350E-01  1.103080E+01  5.000000E-02  5.000000E-01  8.000000E-01  4.299122E+01  6.222456E+00  9.503831E-02  
172   2.809300E-01  1.372720E+01  6.439700E-01  9.342830E+00  5.000000E-02  5.000000E-01  8.000000E-01  4.299122E+01  6.988878E+00  1.121877E-01  
173   2.406460E-01  1.410650E+01  6.266090E-01  9.074680E+00  5.000000E-02  5.000000E-01  8.000000E-01  4.299122E+01  4.253318E+00  1.121877E-01  
174   2.700640E-01  1.383050E+01  6.317120E-01  9.469080E+00  5.000000E-02  5.000000E-01  8.000000E-01  5.891319E+01  6.988878E+00  1.121877E-01  
175   2.648530E-01  1.387980E+01  6.375950E-01  9.241430E+00  5.000000E-02  5.000000E-01  8.000000E-01  4.299122E+01  5.908451E+00  1.121877E-01  
176   2.809970E-01  1.372660E+01  6.439770E-01  9.344890E+00  5.000000E-02  5.000000E-01  5.378891E-01  4.299122E+01  6.988878E+00  1.121877E-01  
177   2.981790E-01  1.356160E+01  5.521180E-01  2.741680E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  6.988878E+00  1.121877E-01  
178   2.982320E-01  1.356110E+01  5.528350E-01  2.739630E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  7.504187E+00  1.121877E-01  
179   2.961390E-01  1.358130E+01  5.519840E-01  2.748230E+01  1.305978E-01  5.441953E-01  5.378891E-01  4.299122E+01  7.504187E+00  1.121877E-01  
180   2.406710E-01  1.410630E+01  5.487850E-01  2.722010E+01  1.305978E-01  5.000000E-01  5.378891E-01  3.236520E+01  7.504187E+00  1.121877E-01  
181   2.972020E-01  1.357100E+01  5.529710E-01  2.738670E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  7.600167E+00  1.121877E-01  
182   2.736220E-01  1.379680E+01  6.417160E-01  9.344250E+00  5.000000E-02  5.000000E-01  5.378891E-01  4.299122E+01  7.600167E+00  1.121877E-01  
183   -8.014590E-02  1.682430E+01  4.644750E-01  2.627640E+01  1.305978E-01  5.000000E-01  5.378891E-01  1.815769E+01  7.600167E+00  1.121877E-01  
184   2.971630E-01  1.357140E+01  5.528780E-01  2.738680E+01  1.305978E-01  5.000000E-01  3.667608E-01  4.299122E+01  7.600167E+00  1.121877E-01  
185   -3.085780E-04  1.619060E+01  4.879320E-01  2.653500E+01  1.305978E-01  5.000000E-01  5.378891E-01  2.039302E+01  7.600167E+00  1.121877E-01  
186   2.971750E-01  1.357130E+01  5.529070E-01  2.738680E+01  1.305978E-01  5.000000E-01  4.175922E-01  4.299122E+01  7.600167E+00  1.121877E-01  
187   2.596280E-01  1.392910E+01  5.890780E-01  2.309990E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  7.600167E+00  1.643250E-01  
188   2.814470E-01  1.372230E+01  6.278480E-01  1.430060E+01  6.965392E-02  5.000000E-01  5.378891E-01  4.299122E+01  7.600167E+00  1.121877E-01  
189   2.626530E-01  1.390060E+01  5.518980E-01  2.726570E+01  1.305978E-01  5.000000E-01  5.378891E-01  3.528306E+01  7.600167E+00  1.121877E-01  
190   2.804570E-01  1.373170E+01  5.461790E-01  2.740110E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  6.440432E+00  1.121877E-01  
191   2.011550E-01  1.446870E+01  2.710580E-01  4.153320E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  7.600167E+00  3.195501E-02  
192   2.971650E-01  1.357140E+01  5.528830E-01  2.738680E+01  1.305978E-01  5.000000E-01  3.760209E-01  4.299122E+01  7.600167E+00  1.121877E-01  
193   2.959570E-01  1.358300E+01  5.165980E-01  2.959900E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  7.600167E+00  9.094365E-02  
194   2.970880E-01  1.357210E+01  5.527680E-01  2.738730E+01  1.305978E-01  5.000000E-01  2.936494E-01  4.299122E+01  7.600167E+00  1.121877E-01  
195   2.676130E-01  1.385370E+01  5.482740E-01  2.742340E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  9.079224E+00  1.121877E-01  
196   2.768030E-01  1.376660E+01  4.470020E-01  3.298070E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  7.600167E+00  6.545750E-02  
197   2.833680E-01  1.370390E+01  5.520190E-01  2.741150E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  8.376799E+00  1.121877E-01  
198   2.723600E-01  1.380880E+01  5.456120E-01  2.778580E+01  1.305978E-01  1.006788E+00  5.378891E-01  4.299122E+01  7.600167E+00  1.121877E-01  
199   3.122040E-01  1.342540E+01  4.917660E-01  3.454720E+01  1.751152E-01  5.000000E-01  5.378891E-01  4.299122E+01  7.600167E+00  1.121877E-01  
200   3.122110E-01  1.342530E+01  4.917710E-01  3.454720E+01  1.751152E-01  5.000000E-01  5.756524E-01  4.299122E+01  7.600167E+00  1.121877E-01  
