Run   NSE           RMSE          KGE           AbsPBIAS      par_POROSITY  par_HBV_BETA  par_FAST_BASEFLOW  par_MAX_PERC  par_MELT      par_SLOW_BASEFLOW  
38    2.591140E-01  1.393390E+01  6.033330E-01  1.197970E+01  5.000000E-02  4.537318E+00  1.354714E-01  7.086074E+01  7.301971E+00  9.615379E-02  
39    2.587520E-01  1.393730E+01  6.029250E-01  1.199890E+01  5.000000E-02  3.808698E+00  1.354714E-01  7.003597E+01  7.301971E+00  9.615379E-02  
40    2.591140E-01  1.393390E+01  6.033330E-01  1.197970E+01  5.000000E-02  4.537318E+00  1.972208E-01  7.086074E+01  7.301971E+00  9.615379E-02  
41    2.613210E-01  1.391310E+01  6.032580E-01  1.209870E+01  5.000000E-02  4.537318E+00  1.972208E-01  7.086074E+01  9.482145E+00  9.615379E-02  
42    2.613210E-01  1.391310E+01  6.032580E-01  1.209870E+01  5.000000E-02  4.537318E+00  1.972208E-01  7.086074E+01  9.482145E+00  9.615379E-02  
43    2.617500E-01  1.390910E+01  6.000230E-01  1.309250E+01  5.371832E-02  4.537318E+00  1.972208E-01  7.086074E+01  9.482145E+00  9.615379E-02  
44    2.370280E-01  1.414010E+01  5.294570E-01  2.555620E+01  1.111814E-01  3.381742E+00  3.328148E-02  7.086074E+01  9.482145E+00  9.615379E-02  
45    2.611550E-01  1.391470E+01  6.030180E-01  1.210750E+01  5.000000E-02  3.906677E+00  1.972208E-01  7.086074E+01  9.482145E+00  9.615379E-02  
46    2.614580E-01  1.391180E+01  5.946350E-01  1.456010E+01  5.937778E-02  4.537318E+00  1.972208E-01  7.086074E+01  9.482145E+00  9.615379E-02  
47    2.203630E-01  1.429360E+01  6.198600E-01  1.059890E+01  5.524843E-02  4.537318E+00  1.972208E-01  7.086074E+01  1.000000E+01  1.317670E-01  
48    2.281560E-01  1.422200E+01  6.004630E-01  1.697070E+01  8.264946E-02  4.537318E+00  1.972208E-01  7.086074E+01  1.000000E+01  1.313800E-01  
49    2.208480E-01  1.428920E+01  6.198670E-01  1.061570E+01  5.524843E-02  3.651472E+00  1.972208E-01  7.086074E+01  1.000000E+01  1.317670E-01  
50    2.423410E-01  1.409070E+01  6.156490E-01  1.184900E+01  5.524843E-02  3.651472E+00  3.721005E-01  6.920324E+01  1.000000E+01  1.156268E-01  
51    2.092920E-01  1.439480E+01  5.472030E-01  2.576520E+01  1.266381E-01  3.651472E+00  1.972208E-01  7.086074E+01  1.000000E+01  1.317670E-01  
52    1.338520E-01  1.506580E+01  5.967120E-01  7.377020E+00  5.524843E-02  1.710788E+00  1.972208E-01  7.086074E+01  1.000000E+01  1.798732E-01  
53    2.186290E-01  1.430950E+01  6.195580E-01  1.061120E+01  5.524843E-02  3.651472E+00  9.056813E-02  5.925793E+01  1.000000E+01  1.317670E-01  
54    2.199840E-01  1.429710E+01  6.199870E-01  1.057420E+01  5.524843E-02  5.999709E+00  1.972208E-01  7.086074E+01  1.000000E+01  1.317670E-01  
