Ostrich Run Record
gen   NSE           RMSE          KGE           AbsPBIAS      par_POROSITY  par_HBV_BETA  par_FAST_BASEFLOW  par_MAX_PERC  par_MELT      par_SLOW_BASEFLOW  alg_conv_code

200   -3.122110E-01  1.342530E+01  -4.917710E-01  3.454720E+01  1.751152E-01  5.000000E-01  5.756524E-01  4.299122E+01  7.600167E+00  1.121877E-01  0.000000E+00
200   -2.972020E-01  1.357100E+01  -5.529710E-01  2.738670E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  7.600167E+00  1.121877E-01  0.000000E+00
200   -2.982320E-01  1.356110E+01  -5.528350E-01  2.739630E+01  1.305978E-01  5.000000E-01  5.378891E-01  4.299122E+01  7.504187E+00  1.121877E-01  0.000000E+00
200   -2.809970E-01  1.372660E+01  -6.439770E-01  9.344890E+00  5.000000E-02  5.000000E-01  5.378891E-01  4.299122E+01  6.988878E+00  1.121877E-01  0.000000E+00
200   -2.809300E-01  1.372720E+01  -6.439700E-01  9.342830E+00  5.000000E-02  5.000000E-01  8.000000E-01  4.299122E+01  6.988878E+00  1.121877E-01  0.000000E+00
200   -2.952900E-01  1.358950E+01  -6.310240E-01  1.109980E+01  5.000000E-02  5.000000E-01  8.000000E-01  4.299122E+01  6.988878E+00  9.503831E-02  0.000000E+00
200   -2.952940E-01  1.358940E+01  -6.310200E-01  1.110030E+01  5.000000E-02  5.000000E-01  7.226334E-01  4.299122E+01  6.988878E+00  9.503831E-02  0.000000E+00
200   -2.824590E-01  1.371260E+01  -6.433490E-01  9.484540E+00  5.000000E-02  5.000000E-01  7.226334E-01  4.299122E+01  6.988878E+00  1.106969E-01  0.000000E+00
200   -2.824560E-01  1.371260E+01  -6.433490E-01  9.484390E+00  5.000000E-02  5.000000E-01  7.429795E-01  4.299122E+01  6.988878E+00  1.106969E-01  0.000000E+00
200   -2.817540E-01  1.371930E+01  -6.431510E-01  9.475270E+00  5.000000E-02  5.000000E-01  7.429795E-01  4.299122E+01  6.943943E+00  1.106969E-01  0.000000E+00
200   -2.725250E-01  1.380720E+01  -6.455370E-01  8.705460E+00  5.000000E-02  5.000000E-01  7.429795E-01  4.299122E+01  6.943943E+00  1.191264E-01  0.000000E+00
200   -2.888380E-01  1.365150E+01  -6.329450E-01  1.256740E+01  6.015992E-02  5.198627E-01  7.691547E-01  4.336185E+01  6.943943E+00  1.065504E-01  0.000000E+00
200   -2.878750E-01  1.366080E+01  -6.370040E-01  9.998210E+00  5.000000E-02  5.198627E-01  7.691547E-01  4.873983E+01  6.943943E+00  1.065504E-01  0.000000E+00
200   -2.720670E-01  1.381160E+01  -6.465840E-01  8.261360E+00  5.000000E-02  5.198627E-01  7.691547E-01  4.873983E+01  6.943943E+00  1.256230E-01  0.000000E+00
200   -2.514130E-01  1.400610E+01  -6.379260E-01  8.172250E+00  5.000000E-02  5.198627E-01  7.691547E-01  4.873983E+01  6.111164E+00  1.256230E-01  0.000000E+00
200   -2.647160E-01  1.388110E+01  -6.424530E-01  8.238180E+00  5.000000E-02  5.198627E-01  7.691547E-01  5.324238E+01  6.700227E+00  1.256230E-01  0.000000E+00
200   -1.887760E-01  1.458030E+01  -6.193180E-01  6.580720E+00  5.466601E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  1.738860E-01  0.000000E+00
200   -1.997410E-01  1.448150E+01  -6.238390E-01  6.937330E+00  5.466601E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  1.680171E-01  0.000000E+00
200   -1.764160E-01  1.469100E+01  -6.152890E-01  5.396530E+00  5.106787E-02  6.804042E-01  6.048533E-01  6.904624E+01  8.673167E+00  1.775432E-01  0.000000E+00
200   -1.789000E-01  1.466880E+01  -6.163630E-01  5.399460E+00  5.106787E-02  6.804042E-01  6.048533E-01  7.991797E+01  8.673167E+00  1.775432E-01  0.000000E+00
200   -1.882970E-01  1.458460E+01  -6.197580E-01  6.769510E+00  5.000000E-02  3.963824E+00  1.149071E-01  7.337929E+01  5.569457E+00  1.648475E-01  0.000000E+00
200   -1.986700E-01  1.449110E+01  -6.235990E-01  6.920070E+00  5.000000E-02  3.963824E+00  1.204147E-01  7.669586E+01  7.167980E+00  1.648475E-01  0.000000E+00
200   -1.404870E-01  1.500800E+01  -5.947870E-01  5.104140E+00  5.038815E-02  7.000000E+00  3.772124E-01  6.429785E+01  6.533605E+00  2.000000E-01  0.000000E+00
200   -1.328760E-01  1.507430E+01  -5.931330E-01  4.941460E+00  5.038815E-02  7.000000E+00  3.772124E-01  6.604696E+01  4.804317E+00  2.000000E-01  0.000000E+00
