time,date,hour,Snow Refreeze[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Canopy Evaporation[mm],Canopy Evaporation[mm],Canopy Snow Sublimation[mm],Canopy Snow Sublimation[mm],Snow Balance[mm],Overflow[mm],Infiltration[mm],Infiltration[mm],Flush[mm],Soil Evaporation[mm],Soil Evaporation[mm],Capillary Rise[mm],Lake Evaporation[mm],Lake Evaporation[mm],Percolation[mm],Baseflow[mm],Baseflow[mm]
,,from:,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,CANOPY,AET,CANOPY_SNOW,AET,SNOW,SNOW_LIQ,PONDED_WATER,PONDED_WATER,SURFACE_WATER,SOIL[0],AET,SOIL[1],SOIL[2],AET,SOIL[1],SOIL[1],SOIL[2]
,,to:,SNOW,PONDED_WATER,CANOPY,CANOPY_SNOW,ATMOS_PRECIP,ATMOSPHERE,SNOW,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,SOIL[2],SURFACE_WATER,ATMOS_PRECIP,ATMOS_PRECIP,ATMOSPHERE,AET,ATMOSPHERE,AET,SNOW_LIQ,PONDED_WATER,SOIL[0],SURFACE_WATER,SOIL[1],ATMOSPHERE,AET,SOIL[0],ATMOSPHERE,AET,SOIL[2],SURFACE_WATER,SURFACE_WATER
488,2014-05-04,00:00:00.00,36.0867,981.412,22.9052,16.0044,0,0,448.311,20.57,0,0,0,33.0926,0,0,22.9052,22.9052,16.0044,16.0044,484.397,468.881,231.703,1218.59,1251.68,520.265,520.265,382.186,215.464,215.464,823.517,12.8859,580.409
489,2014-05-05,00:00:00.00,36.0867,981.412,22.9052,16.0044,0,0,448.311,20.57,0,0,0,33.0926,0,0,22.9052,22.9052,16.0044,16.0044,484.397,468.881,231.703,1218.59,1251.68,520.265,520.265,382.186,215.464,215.464,823.517,12.8859,583.354
490,2014-05-06,00:00:00.00,36.0867,981.412,22.9052,16.0044,0,0,448.311,20.57,0,0,0,33.0926,0,0,22.9052,22.9052,16.0044,16.0044,484.397,468.881,231.703,1218.59,1251.68,520.265,520.265,382.186,215.464,215.464,823.517,12.8859,585.986
491,2014-05-07,00:00:00.00,36.0867,981.412,22.9052,16.0044,0,0,448.311,20.57,0,0,0,33.0926,0,0,22.9052,22.9052,16.0044,16.0044,484.397,468.881,231.703,1218.59,1251.68,520.265,520.265,382.186,215.464,215.464,823.517,12.8859,588.337
492,2014-05-08,00:00:00.00,36.0867,981.412,22.9052,16.0044,0,0,448.311,20.57,0,0,0,33.0926,0,0,22.9052,22.9052,16.0044,16.0044,484.397,468.881,231.703,1218.59,1251.68,520.265,520.265,382.186,215.464,215.464,823.517,12.8859,590.438
493,2014-05-09,00:00:00.00,36.0867,981.412,22.9052,16.0044,0,0,448.311,20.57,0,0,0,33.0926,0,0,22.9052,22.9052,16.0044,16.0044,484.397,468.881,231.703,1218.59,1251.68,523.43,523.43,382.186,218.63,218.63,823.517,12.8859,591.977
494,2014-05-10,00:00:00.00,36.0867,987.155,23.0589,16.0044,0,0,448.311,20.57,0,0,0,33.2236,0,0,23.0589,23.0589,16.0044,16.0044,484.397,468.881,231.98,1224.06,1257.28,528.858,528.858,384.849,224.211,224.211,826.321,12.8859,593.057
495,2014-05-11,00:00:00.00,36.0867,987.155,23.0589,16.0044,0,0,448.311,20.57,0,0,0,33.2236,0,0,23.0589,23.0589,16.0044,16.0044,484.397,468.881,231.98,1224.06,1257.28,532.721,532.721,384.849,228.075,228.075,826.321,12.8859,593.61
496,2014-05-12,00:00:00.00,36.0867,987.155,23.0589,16.0044,0,0,448.311,20.57,0,0,0,33.2236,0,0,23.0589,23.0589,16.0044,16.0044,484.397,468.881,231.98,1224.06,1257.28,535.887,535.887,384.849,231.237,231.237,826.321,12.8859,593.767
497,2014-05-13,00:00:00.00,36.0867,1002.09,23.4586,16.0044,0,0,448.311,20.57,0,0,0,33.5644,0,0,23.4586,23.4586,16.0044,16.0044,484.397,468.881,233.483,1237.49,1271.05,541.069,541.069,389.008,232.554,232.554,835.592,12.8859,594.755
498,2014-05-14,00:00:00.00,36.0867,1011.66,23.7147,16.0044,0,0,448.311,20.57,0,0,0,33.7828,0,0,23.7147,23.7147,16.0044,16.0044,484.397,468.881,234.422,1246.12,1279.9,546.394,546.394,393.21,238.135,238.135,840.025,12.8859,595.515
499,2014-05-15,00:00:00.00,36.0867,1023.15,24.0222,16.0044,0,0,448.311,20.57,0,0,0,34.0449,0,0,24.0222,24.0222,16.0044,16.0044,484.397,468.881,235.56,1256.47,1290.51,551.345,551.345,397.339,243.391,243.391,846.245,12.8859,596.297
500,2014-05-16,00:00:00.00,36.0867,1032.91,24.2835,16.0044,0,0,448.311,20.57,0,0,0,34.2677,0,0,24.2835,24.2835,16.0044,16.0044,484.397,468.881,236.511,1265.28,1299.55,553.552,553.552,400.934,245.859,245.859,851.464,12.8859,597.289
501,2014-05-17,00:00:00.00,36.0867,1032.91,24.2835,16.0044,0,0,448.311,20.57,0,0,0,34.2677,0,0,24.2835,24.2835,16.0044,16.0044,484.397,468.881,236.511,1265.28,1299.55,553.552,553.552,400.934,245.859,245.859,851.464,12.8859,598.175
502,2014-05-18,00:00:00.00,36.0867,1032.91,24.2835,16.0044,0,0,448.311,20.57,0,0,0,34.2677,0,0,24.2835,24.2835,16.0044,16.0044,484.397,468.881,236.511,1265.28,1299.55,553.552,553.552,400.934,245.859,245.859,851.464,12.8859,598.967
503,2014-05-19,00:00:00.00,36.0867,1032.91,24.2835,16.0044,0,0,448.311,20.57,0,0,0,34.2677,0,0,24.2835,24.2835,16.0044,16.0044,484.397,468.881,236.511,1265.28,1299.55,553.552,553.552,400.934,245.859,245.859,851.464,12.8859,599.674
504,2014-05-20,00:00:00.00,36.0867,1032.91,24.2835,16.0044,0,0,448.311,20.57,0,0,0,34.2677,0,0,24.2835,24.2835,16.0044,16.0044,484.397,468.881,236.511,1265.28,1299.55,556.369,556.369,400.934,248.676,248.676,851.464,12.8859,600.006
505,2014-05-21,00:00:00.00,36.0867,1044.98,24.6063,16.0044,0,0,448.311,20.57,0,0,0,34.5429,0,0,24.6063,24.6063,16.0044,16.0044,484.397,468.881,237.718,1276.14,1310.68,558.863,558.863,404.624,251.35,251.35,858.629,12.8859,600.781
506,2014-05-22,00:00:00.00,36.0867,1045.93,24.6319,16.0044,0,0,448.311,20.57,0,0,0,34.5647,0,0,24.6319,24.6319,16.0044,16.0044,484.397,468.881,237.8,1277.01,1311.58,564.419,564.419,405.498,256.931,256.931,858.629,12.8859,600.879
507,2014-05-23,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,565.83,565.83,405.838,257.751,257.751,858.629,12.8859,600.879
508,2014-05-24,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,565.83,565.83,405.838,257.751,257.751,858.629,12.8859,600.879
509,2014-05-25,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,570.74,570.74,405.838,257.751,257.751,858.629,12.8859,600.879
510,2014-05-26,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,576.321,576.321,405.838,257.751,257.751,858.629,12.8859,600.879
511,2014-05-27,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,581.903,581.903,405.838,257.751,257.751,858.629,12.8859,600.879
512,2014-05-28,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,587.484,587.484,405.838,257.751,257.751,858.629,12.8859,600.879
513,2014-05-29,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,593.059,593.059,405.838,257.751,257.751,858.629,12.8859,600.879
514,2014-05-30,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,597.235,597.235,405.838,257.751,257.751,858.629,12.8859,600.879
515,2014-05-31,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,601.923,601.923,405.838,257.751,257.751,858.629,12.8859,600.879
516,2014-06-01,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,606.138,606.138,405.838,257.751,257.751,858.629,12.8859,600.879
517,2014-06-02,00:00:00.00,36.0867,1046.32,24.6421,16.0044,0,0,448.311,20.57,0,0,0,34.5734,0,0,24.6421,24.6421,16.0044,16.0044,484.397,468.881,237.844,1277.35,1311.93,607.954,607.954,405.838,257.751,257.751,858.629,12.8859,600.879
518,2014-06-03,00:00:00.00,36.0867,1049.95,24.7395,16.0044,0,0,448.311,20.57,0,0,0,34.6564,0,0,24.7395,24.7395,16.0044,16.0044,484.397,468.881,239.32,1279.51,1314.17,612.9,612.9,407.999,257.751,257.751,858.629,12.8859,600.879
519,2014-06-04,00:00:00.00,36.0867,1049.95,24.7395,16.0044,0,0,448.311,20.57,0,0,0,34.6564,0,0,24.7395,24.7395,16.0044,16.0044,484.397,468.881,239.32,1279.51,1314.17,617.54,617.54,407.999,257.751,257.751,858.629,12.8859,600.879
520,2014-06-05,00:00:00.00,36.0867,1049.95,24.7395,16.0044,0,0,448.311,20.57,0,0,0,34.6564,0,0,24.7395,24.7395,16.0044,16.0044,484.397,468.881,239.32,1279.51,1314.17,617.54,617.54,407.999,257.751,257.751,858.629,12.8859,600.879
521,2014-06-06,00:00:00.00,36.0867,1049.95,24.7395,16.0044,0,0,448.311,20.57,0,0,0,34.6564,0,0,24.7395,24.7395,16.0044,16.0044,484.397,468.881,239.32,1279.51,1314.17,617.54,617.54,407.999,257.751,257.751,858.629,12.8859,600.879
522,2014-06-07,00:00:00.00,36.0867,1049.95,24.7395,16.0044,0,0,448.311,20.57,0,0,0,34.6564,0,0,24.7395,24.7395,16.0044,16.0044,484.397,468.881,239.32,1279.51,1314.17,617.54,617.54,407.999,257.751,257.751,858.629,12.8859,600.879
523,2014-06-08,00:00:00.00,36.0867,1049.95,24.7395,16.0044,0,0,448.311,20.57,0,0,0,34.6564,0,0,24.7395,24.7395,16.0044,16.0044,484.397,468.881,239.32,1279.51,1314.17,618.98,618.98,407.999,257.751,257.751,858.629,12.8859,600.879
524,2014-06-09,00:00:00.00,36.0867,1053.97,24.8471,16.0044,0,0,448.311,20.57,0,0,0,34.7482,0,0,24.8471,24.8471,16.0044,16.0044,484.397,468.881,241.214,1281.64,1316.39,618.98,618.98,410.126,257.751,257.751,858.629,12.8859,600.879
525,2014-06-10,00:00:00.00,36.0867,1053.97,24.8471,16.0044,0,0,448.311,20.57,0,0,0,34.7482,0,0,24.8471,24.8471,16.0044,16.0044,484.397,468.881,241.214,1281.64,1316.39,621.091,621.091,410.126,257.751,257.751,858.629,12.8859,600.879
526,2014-06-11,00:00:00.00,36.0867,1056.46,24.9137,16.0044,0,0,448.311,20.57,0,0,0,34.805,0,0,24.9137,24.9137,16.0044,16.0044,484.397,468.881,242.342,1283,1317.81,624.949,624.949,411.486,257.751,257.751,858.629,12.8859,600.879
527,2014-06-12,00:00:00.00,36.0867,1064.5,25.1289,16.0044,0,0,448.311,20.57,0,0,0,34.9884,0,0,25.1289,25.1289,16.0044,16.0044,484.397,468.881,246.088,1287.3,1322.29,628.322,628.322,415.782,257.751,257.751,858.629,12.8859,600.879
528,2014-06-13,00:00:00.00,36.0867,1071.21,25.3082,16.0044,0,0,448.311,20.57,0,0,0,35.1413,0,0,25.3082,25.3082,16.0044,16.0044,484.397,468.881,248.929,1291.16,1326.3,632.723,632.723,419.642,257.751,257.751,858.629,12.8859,600.879
529,2014-06-14,00:00:00.00,36.0867,1071.21,25.3082,16.0044,0,0,448.311,20.57,0,0,0,35.1413,0,0,25.3082,25.3082,16.0044,16.0044,484.397,468.881,248.929,1291.16,1326.3,635.061,635.061,419.642,257.751,257.751,858.629,12.8859,600.879
530,2014-06-15,00:00:00.00,36.0867,1071.21,25.3082,16.0044,0,0,448.311,20.57,0,0,0,35.1413,0,0,25.3082,25.3082,16.0044,16.0044,484.397,468.881,248.929,1291.16,1326.3,635.061,635.061,419.642,257.751,257.751,858.629,12.8859,600.879
531,2014-06-16,00:00:00.00,36.0867,1073.69,25.3748,16.0044,0,0,448.311,20.57,0,0,0,35.1981,0,0,25.3748,25.3748,16.0044,16.0044,484.397,468.881,249.985,1292.59,1327.79,635.061,635.061,421.074,257.751,257.751,858.629,12.8859,600.879
532,2014-06-17,00:00:00.00,36.0867,1073.69,25.3748,16.0044,0,0,448.311,20.57,0,0,0,35.1981,0,0,25.3748,25.3748,16.0044,16.0044,484.397,468.881,249.985,1292.59,1327.79,639.532,639.532,421.074,257.751,257.751,858.629,12.8859,600.879
533,2014-06-18,00:00:00.00,36.0867,1083.84,25.6464,16.0044,0,0,448.311,20.57,0,0,0,35.4296,0,0,25.6464,25.6464,16.0044,16.0044,484.397,468.881,254.466,1298.26,1333.69,644.212,644.212,426.741,257.751,257.751,858.629,12.8859,600.879
534,2014-06-19,00:00:00.00,36.0867,1085.18,25.6822,16.0044,0,0,448.311,20.57,0,0,0,35.4602,0,0,25.6822,25.6822,16.0044,16.0044,484.397,468.881,254.995,1299.07,1334.53,648.216,648.216,427.552,257.751,257.751,858.629,12.8859,600.879
535,2014-06-20,00:00:00.00,36.0867,1085.18,25.6822,16.0044,0,0,448.311,20.57,0,0,0,35.4602,0,0,25.6822,25.6822,16.0044,16.0044,484.397,468.881,254.995,1299.07,1334.53,652.19,652.19,427.552,257.751,257.751,858.629,12.8859,600.879
536,2014-06-21,00:00:00.00,36.0867,1085.18,25.6822,16.0044,0,0,448.311,20.57,0,0,0,35.4602,0,0,25.6822,25.6822,16.0044,16.0044,484.397,468.881,254.995,1299.07,1334.53,652.19,652.19,427.552,257.751,257.751,858.629,12.8859,600.879
537,2014-06-22,00:00:00.00,36.0867,1085.18,25.6822,16.0044,0,0,448.311,20.57,0,0,0,35.4602,0,0,25.6822,25.6822,16.0044,16.0044,484.397,468.881,254.995,1299.07,1334.53,654.426,654.426,427.552,257.751,257.751,858.629,12.8859,600.879
538,2014-06-23,00:00:00.00,36.0867,1085.18,25.6822,16.0044,0,0,448.311,20.57,0,0,0,35.4602,0,0,25.6822,25.6822,16.0044,16.0044,484.397,468.881,254.995,1299.07,1334.53,656.734,656.734,427.552,257.751,257.751,858.629,12.8859,600.879
539,2014-06-24,00:00:00.00,36.0867,1088.63,25.7745,16.0044,0,0,448.311,20.57,0,0,0,35.5389,0,0,25.7745,25.7745,16.0044,16.0044,484.397,468.881,256.7,1300.81,1336.35,659.179,659.179,429.293,257.751,257.751,858.629,12.8859,600.879
540,2014-06-25,00:00:00.00,36.0867,1100.69,26.0973,16.0044,0,0,448.311,20.57,0,0,0,35.8141,0,0,26.0973,26.0973,16.0044,16.0044,484.397,468.881,262.551,1307.02,1342.83,663.397,663.397,435.504,257.751,257.751,858.629,12.8859,600.879
541,2014-06-26,00:00:00.00,36.0867,1100.69,26.0973,16.0044,0,0,448.311,20.57,0,0,0,35.8141,0,0,26.0973,26.0973,16.0044,16.0044,484.397,468.881,262.551,1307.02,1342.83,667.41,667.41,435.504,257.751,257.751,858.629,12.8859,600.879
542,2014-06-27,00:00:00.00,36.0867,1100.69,26.0973,16.0044,0,0,448.311,20.57,0,0,0,35.8141,0,0,26.0973,26.0973,16.0044,16.0044,484.397,468.881,262.551,1307.02,1342.83,671.474,671.474,435.504,257.751,257.751,858.629,12.8859,600.879
543,2014-06-28,00:00:00.00,36.0867,1100.69,26.0973,16.0044,0,0,448.311,20.57,0,0,0,35.8141,0,0,26.0973,26.0973,16.0044,16.0044,484.397,468.881,262.551,1307.02,1342.83,675.057,675.057,435.504,257.751,257.751,858.629,12.8859,600.879
544,2014-06-29,00:00:00.00,36.0867,1100.69,26.0973,16.0044,0,0,448.311,20.57,0,0,0,35.8141,0,0,26.0973,26.0973,16.0044,16.0044,484.397,468.881,262.551,1307.02,1342.83,678.158,678.158,435.504,257.751,257.751,858.629,12.8859,600.879
545,2014-06-30,00:00:00.00,36.0867,1109.5,26.3329,16.0044,0,0,448.311,20.57,0,0,0,36.015,0,0,26.3329,26.3329,16.0044,16.0044,484.397,468.881,267.45,1310.93,1346.94,681.399,681.399,439.412,257.751,257.751,858.629,12.8859,600.879
546,2014-07-01,00:00:00.00,36.0867,1109.69,26.3381,16.0044,0,0,448.311,20.57,0,0,0,36.0194,0,0,26.3381,26.3381,16.0044,16.0044,484.397,468.881,267.546,1311.02,1347.04,684.842,684.842,439.508,257.751,257.751,858.629,12.8859,600.879
547,2014-07-02,00:00:00.00,36.0867,1113.9,26.4508,16.0044,0,0,448.311,20.57,0,0,0,36.1155,0,0,26.4508,26.4508,16.0044,16.0044,484.397,468.881,269.783,1313,1349.11,688.324,688.324,441.483,257.751,257.751,858.629,12.8859,600.879
548,2014-07-03,00:00:00.00,36.0867,1114.67,26.4713,16.0044,0,0,448.311,20.57,0,0,0,36.133,0,0,26.4713,26.4713,16.0044,16.0044,484.397,468.881,270.184,1313.36,1349.5,691.041,691.041,441.848,257.751,257.751,858.629,12.8859,600.879
549,2014-07-04,00:00:00.00,36.0867,1114.67,26.4713,16.0044,0,0,448.311,20.57,0,0,0,36.133,0,0,26.4713,26.4713,16.0044,16.0044,484.397,468.881,270.184,1313.36,1349.5,691.041,691.041,441.848,257.751,257.751,858.629,12.8859,600.879
550,2014-07-05,00:00:00.00,36.0867,1114.67,26.4713,16.0044,0,0,448.311,20.57,0,0,0,36.133,0,0,26.4713,26.4713,16.0044,16.0044,484.397,468.881,270.184,1313.36,1349.5,691.041,691.041,441.848,257.751,257.751,858.629,12.8859,600.879
551,2014-07-06,00:00:00.00,36.0867,1114.67,26.4713,16.0044,0,0,448.311,20.57,0,0,0,36.133,0,0,26.4713,26.4713,16.0044,16.0044,484.397,468.881,270.184,1313.36,1349.5,691.041,691.041,441.848,257.751,257.751,858.629,12.8859,600.879
552,2014-07-07,00:00:00.00,36.0867,1140.9,26.9771,16.0044,0,0,448.311,20.57,0,0,0,36.7271,0,0,26.9771,26.9771,16.0044,16.0044,484.397,468.881,284.462,1325.31,1362.04,691.802,691.802,453.648,257.751,257.751,858.78,12.8859,600.895
553,2014-07-08,00:00:00.00,36.0867,1141.85,27.0027,16.0044,0,0,448.311,20.57,0,0,0,36.7489,0,0,27.0027,27.0027,16.0044,16.0044,484.397,468.881,284.771,1325.96,1362.71,697.644,697.644,454.297,257.885,257.885,858.78,12.8859,600.895
554,2014-07-09,00:00:00.00,36.0867,1168.28,27.5085,16.0044,0,0,448.311,20.57,0,0,0,37.3474,0,0,27.5085,27.5085,16.0044,16.0044,484.397,468.881,294.261,1342.9,1380.25,699.136,699.136,463.634,257.885,257.885,866.378,12.8859,601.704
555,2014-07-10,00:00:00.00,36.0867,1168.47,27.5136,16.0044,0,0,448.311,20.57,0,0,0,37.3517,0,0,27.5136,27.5136,16.0044,16.0044,484.397,468.881,294.306,1343.04,1380.4,699.136,699.136,463.781,257.885,257.885,866.378,12.8859,602.428
556,2014-07-11,00:00:00.00,36.0867,1168.66,27.5187,16.0044,0,0,448.311,20.57,0,0,0,37.3561,0,0,27.5187,27.5187,16.0044,16.0044,484.397,468.881,294.351,1343.19,1380.55,699.136,699.136,463.927,257.885,257.885,866.378,12.8859,603.074
557,2014-07-12,00:00:00.00,36.0867,1191.75,28.0245,16.0044,0,0,448.311,20.57,0,0,0,37.8803,0,0,28.0245,28.0245,16.0044,16.0044,484.397,468.881,299.724,1360.9,1398.78,699.136,699.136,470.457,257.885,257.885,877.558,12.8859,604.842
558,2014-07-13,00:00:00.00,36.0867,1203.42,28.3371,16.0044,0,0,448.311,20.57,0,0,0,38.1468,0,0,28.3371,28.3371,16.0044,16.0044,484.397,468.881,301.568,1370.74,1408.88,704.281,704.281,476.387,263.343,263.343,881.464,12.8859,606.257
559,2014-07-14,00:00:00.00,36.0867,1206.1,28.4088,16.0044,0,0,448.311,20.57,0,0,0,38.2079,0,0,28.4088,28.4088,16.0044,16.0044,484.397,468.881,301.95,1373.04,1411.24,711.164,711.164,478.686,270.294,270.294,881.464,12.8859,606.781
560,2014-07-15,00:00:00.00,36.0867,1215.68,28.665,16.0044,0,0,448.311,20.57,0,0,0,38.4263,0,0,28.665,28.665,16.0044,16.0044,484.397,468.881,303.554,1381,1419.43,711.164,711.164,483.996,270.294,270.294,884.122,12.8859,607.532
561,2014-07-16,00:00:00.00,36.0867,1216.06,28.6752,16.0044,0,0,448.311,20.57,0,0,0,38.4351,0,0,28.6752,28.6752,16.0044,16.0044,484.397,468.881,303.603,1381.34,1419.77,711.164,711.164,484.33,270.294,270.294,884.122,12.8859,608.202
562,2014-07-17,00:00:00.00,36.0867,1217.02,28.7008,16.0044,0,0,448.311,20.57,0,0,0,38.4569,0,0,28.7008,28.7008,16.0044,16.0044,484.397,468.881,303.722,1382.18,1420.63,711.164,711.164,485.169,270.294,270.294,884.122,12.8859,608.802
563,2014-07-18,00:00:00.00,36.0867,1217.02,28.7008,16.0044,0,0,448.311,20.57,0,0,0,38.4569,0,0,28.7008,28.7008,16.0044,16.0044,484.397,468.881,303.722,1382.18,1420.63,711.164,711.164,485.169,270.294,270.294,884.122,12.8859,609.337
564,2014-07-19,00:00:00.00,36.0867,1217.02,28.7008,16.0044,0,0,448.311,20.57,0,0,0,38.4569,0,0,28.7008,28.7008,16.0044,16.0044,484.397,468.881,303.722,1382.18,1420.63,711.164,711.164,485.169,270.294,270.294,884.122,12.8859,609.816
565,2014-07-20,00:00:00.00,36.0867,1219.89,28.7777,16.0044,0,0,448.311,20.57,0,0,0,38.5225,0,0,28.7777,28.7777,16.0044,16.0044,484.397,468.881,304.062,1384.71,1423.23,711.164,711.164,487.7,270.294,270.294,884.122,12.8859,610.243
566,2014-07-21,00:00:00.00,36.0867,1219.89,28.7777,16.0044,0,0,448.311,20.57,0,0,0,38.5225,0,0,28.7777,28.7777,16.0044,16.0044,484.397,468.881,304.062,1384.71,1423.23,714.626,714.626,487.7,273.397,273.397,884.122,12.8859,610.295
567,2014-07-22,00:00:00.00,36.0867,1219.89,28.7777,16.0044,0,0,448.311,20.57,0,0,0,38.5225,0,0,28.7777,28.7777,16.0044,16.0044,484.397,468.881,304.062,1384.71,1423.23,720.582,720.582,487.7,273.827,273.827,884.122,12.8859,610.295
568,2014-07-23,00:00:00.00,36.0867,1220.46,28.7931,16.0044,0,0,448.311,20.57,0,0,0,38.5356,0,0,28.7931,28.7931,16.0044,16.0044,484.397,468.881,304.153,1385.19,1423.73,727.521,727.521,488.184,273.827,273.827,884.122,12.8859,610.295
569,2014-07-24,00:00:00.00,36.0867,1220.46,28.7931,16.0044,0,0,448.311,20.57,0,0,0,38.5356,0,0,28.7931,28.7931,16.0044,16.0044,484.397,468.881,304.153,1385.19,1423.73,727.521,727.521,488.184,273.827,273.827,884.122,12.8859,610.295
570,2014-07-25,00:00:00.00,36.0867,1220.46,28.7931,16.0044,0,0,448.311,20.57,0,0,0,38.5356,0,0,28.7931,28.7931,16.0044,16.0044,484.397,468.881,304.153,1385.19,1423.73,727.521,727.521,488.184,273.827,273.827,884.122,12.8859,610.295
571,2014-07-26,00:00:00.00,36.0867,1220.46,28.7931,16.0044,0,0,448.311,20.57,0,0,0,38.5356,0,0,28.7931,28.7931,16.0044,16.0044,484.397,468.881,304.153,1385.19,1423.73,727.521,727.521,488.184,273.827,273.827,884.122,12.8859,610.295
572,2014-07-27,00:00:00.00,36.0867,1220.46,28.7931,16.0044,0,0,448.311,20.57,0,0,0,38.5356,0,0,28.7931,28.7931,16.0044,16.0044,484.397,468.881,304.153,1385.19,1423.73,727.99,727.99,488.184,273.827,273.827,884.122,12.8859,610.295
573,2014-07-28,00:00:00.00,36.0867,1246.69,29.2989,16.0044,0,0,448.311,20.57,0,0,0,39.1297,0,0,29.2989,29.2989,16.0044,16.0044,484.397,468.881,309.38,1406.19,1445.32,734.438,734.438,494.972,273.827,273.827,898.335,12.8859,611.809
574,2014-07-29,00:00:00.00,36.0867,1247.08,29.3091,16.0044,0,0,448.311,20.57,0,0,0,39.1384,0,0,29.3091,29.3091,16.0044,16.0044,484.397,468.881,309.444,1406.51,1445.65,734.438,734.438,495.292,273.827,273.827,898.335,12.8859,613.162
575,2014-07-30,00:00:00.00,36.0867,1247.65,29.3245,16.0044,0,0,448.311,20.57,0,0,0,39.1515,0,0,29.3245,29.3245,16.0044,16.0044,484.397,468.881,309.537,1406.99,1446.15,734.438,734.438,495.773,273.827,273.827,898.335,12.8859,614.371
576,2014-07-31,00:00:00.00,36.0867,1260.29,29.6626,16.0044,0,0,448.311,20.57,0,0,0,39.4398,0,0,29.6626,29.6626,16.0044,16.0044,484.397,468.881,311.549,1417.62,1457.06,734.438,734.438,500.747,273.827,273.827,903.986,12.8859,616.053
577,2014-08-01,00:00:00.00,36.0867,1260.29,29.6626,16.0044,0,0,448.311,20.57,0,0,0,39.4398,0,0,29.6626,29.6626,16.0044,16.0044,484.397,468.881,311.549,1417.62,1457.06,734.438,734.438,500.747,273.827,273.827,903.986,12.8859,617.556
578,2014-08-02,00:00:00.00,36.0867,1260.29,29.6626,16.0044,0,0,448.311,20.57,0,0,0,39.4398,0,0,29.6626,29.6626,16.0044,16.0044,484.397,468.881,311.549,1417.62,1457.06,736.532,736.532,500.747,275.921,275.921,903.986,12.8859,618.676
579,2014-08-03,00:00:00.00,36.0867,1268.33,29.8778,16.0044,0,0,448.311,20.57,0,0,0,39.6233,0,0,29.8778,29.8778,16.0044,16.0044,484.397,468.881,312.596,1424.61,1464.24,739.263,739.263,505.498,278.868,278.868,906.229,12.8859,619.601
580,2014-08-04,00:00:00.00,36.0867,1268.52,29.883,16.0044,0,0,448.311,20.57,0,0,0,39.6277,0,0,29.883,29.883,16.0044,16.0044,484.397,468.881,312.617,1424.78,1464.41,743.909,743.909,505.668,283.519,283.519,906.229,12.8859,619.932
581,2014-08-05,00:00:00.00,36.0867,1273.11,30.0059,16.0044,0,0,448.311,20.57,0,0,0,39.7325,0,0,30.0059,30.0059,16.0044,16.0044,484.397,468.881,313.253,1428.74,1468.47,748.011,748.011,509.627,286.297,286.297,906.229,12.8859,619.932
