time,date,hour,Snow Refreeze[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Canopy Evaporation[mm],Canopy Evaporation[mm],Canopy Snow Sublimation[mm],Canopy Snow Sublimation[mm],Snow Balance[mm],Overflow[mm],Infiltration[mm],Infiltration[mm],Flush[mm],Soil Evaporation[mm],Soil Evaporation[mm],Capillary Rise[mm],Lake Evaporation[mm],Lake Evaporation[mm],Percolation[mm],Baseflow[mm],Baseflow[mm]
,,from:,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,CANOPY,AET,CANOPY_SNOW,AET,SNOW,SNOW_LIQ,PONDED_WATER,PONDED_WATER,SURFACE_WATER,SOIL[0],AET,SOIL[1],SOIL[2],AET,SOIL[1],SOIL[1],SOIL[2]
,,to:,SNOW,PONDED_WATER,CANOPY,CANOPY_SNOW,ATMOS_PRECIP,ATMOSPHERE,SNOW,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,SOIL[2],SURFACE_WATER,ATMOS_PRECIP,ATMOS_PRECIP,ATMOSPHERE,AET,ATMOSPHERE,AET,SNOW_LIQ,PONDED_WATER,SOIL[0],SURFACE_WATER,SOIL[1],ATMOSPHERE,AET,SOIL[0],ATMOSPHERE,AET,SOIL[2],SURFACE_WATER,SURFACE_WATER
17,2013-01-18,00:00:00.00,0,30.8041,0.829141,0.434846,0,0,12.1812,0.178018,0,0,0,0.987251,0,0,0.829141,0.829141,0.434846,0.434846,5.34824,5.52625,25.1227,11.2077,12.195,0.197998,0.197998,11.2077,0,0,0,0,0
18,2013-01-19,00:00:00.00,0,30.8041,0.829141,0.434846,0,0,12.1812,0.178018,0,0,0,0.987251,0,0,0.829141,0.829141,0.434846,0.434846,5.34824,5.52625,25.1227,11.2077,12.195,0.210612,0.210612,11.2077,0,0,0,0,0
19,2013-01-20,00:00:00.00,0,30.8041,0.829141,0.556815,0,0,15.5977,0.178018,0,0,0,1.06588,0,0,0.829141,0.829141,0.556815,0.556815,5.34824,5.52625,25.1227,11.2077,12.2736,0.2148,0.2148,11.2077,0,0,0,0,0
20,2013-01-21,00:00:00.00,0,30.8041,0.829141,0.604248,0,0,16.9264,0.178018,0,0,0,1.09646,0,0,0.829141,0.829141,0.604248,0.604248,5.34824,5.52625,25.1227,11.2077,12.3042,0.215703,0.215703,11.2077,0,0,0,0,0
21,2013-01-22,00:00:00.00,0,30.8041,0.829141,0.6178,0,0,17.306,0.178018,0,0,0,1.1052,0,0,0.829141,0.829141,0.6178,0.6178,5.34824,5.52625,25.1227,11.2077,12.3129,0.215703,0.215703,11.2077,0,0,0,0,0
22,2013-01-23,00:00:00.00,0,30.8041,0.829141,0.644904,0,0,18.0652,0.178018,0,0,0,1.12267,0,0,0.829141,0.829141,0.644904,0.644904,5.34824,5.52625,25.1227,11.2077,12.3304,0.215703,0.215703,11.2077,0,0,0,0,0
23,2013-01-24,00:00:00.00,0,30.8041,0.829141,0.65168,0,0,18.255,0.178018,0,0,0,1.12704,0,0,0.829141,0.829141,0.65168,0.65168,5.34824,5.52625,25.1227,11.2077,12.3347,0.215703,0.215703,11.2077,0,0,0,0,0
24,2013-01-25,00:00:00.00,0,30.8041,0.829141,0.65168,0,0,18.255,0.178018,0,0,0,1.12704,0,0,0.829141,0.829141,0.65168,0.65168,5.34824,5.52625,25.1227,11.2077,12.3347,0.215703,0.215703,11.2077,0,0,0,0,0
25,2013-01-26,00:00:00.00,0,30.8041,0.829141,0.685561,0,0,19.204,0.178018,0,0,0,1.14888,0,0,0.829141,0.829141,0.685561,0.685561,5.34824,5.52625,25.1227,11.2077,12.3566,0.215703,0.215703,11.2077,0,0,0,0,0
26,2013-01-27,00:00:00.00,0,30.8041,0.829141,0.685561,0,0,19.204,0.178018,0,0,0,1.14888,0,0,0.829141,0.829141,0.685561,0.685561,5.34824,5.52625,25.1227,11.2077,12.3566,0.215703,0.215703,11.2077,0,0,0,0,0
27,2013-01-28,00:00:00.00,0,30.8041,0.829141,0.922723,0,0,25.8472,0.178018,0,0,0,1.30177,0,0,0.829141,0.829141,0.922723,0.922723,5.34824,5.52625,25.1227,11.2077,12.5095,0.215703,0.215703,11.2077,0,0,0,0,0
28,2013-01-29,00:00:00.00,0,30.8041,0.829141,1.03114,0,0,28.8841,0.178018,0,0,0,1.37167,0,0,0.829141,0.829141,1.03114,1.03114,5.34824,5.52625,25.1227,11.2077,12.5794,0.219946,0.219946,11.2077,0,0,0,0,0
29,2013-01-30,00:00:00.00,0,46.8349,1.28002,1.03114,0,0,28.8841,0.995581,0,0,0,1.75608,0,0,1.28002,1.28002,1.03114,1.03114,24.4179,25.2583,39.3941,32.6991,34.4552,0.223786,0.223786,20.3671,0,0,12.332,0,1.31398
30,2013-01-31,00:00:00.00,0,53.5359,1.45935,1.03114,0,0,28.8841,0.995581,0,0,0,1.90898,0,0,1.45935,1.45935,1.03114,1.03114,28.2124,29.1846,41.8857,40.8348,42.7438,0.340596,0.340596,27.3814,0.165099,0.165099,13.4534,0,2.58985
31,2013-02-01,00:00:00.00,0.0233328,53.5359,1.45935,1.44448,0,0,40.4622,0.995581,0,0,0,2.17545,0,0,1.45935,1.45935,1.44448,1.44448,28.2124,29.1846,41.8857,40.8348,43.0102,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,3.72236
32,2013-02-02,00:00:00.00,0.0233328,53.5359,1.45935,1.53257,0,0,42.9297,0.995581,0,0,0,2.23224,0,0,1.45935,1.45935,1.53257,1.53257,28.2124,29.1846,41.8857,40.8348,43.067,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,4.7342
33,2013-02-03,00:00:00.00,0.0233328,53.5359,1.45935,1.56645,0,0,43.8787,0.995581,0,0,0,2.25408,0,0,1.45935,1.45935,1.56645,1.56645,28.2124,29.1846,41.8857,40.8348,43.0889,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,5.63823
34,2013-02-04,00:00:00.00,0.0233328,53.5359,1.45935,1.6071,0,0,45.0175,0.995581,0,0,0,2.28029,0,0,1.45935,1.45935,1.6071,1.6071,28.2124,29.1846,41.8857,40.8348,43.1151,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,6.44593
35,2013-02-05,00:00:00.00,0.0233328,53.5359,1.45935,1.62066,0,0,45.3971,0.995581,0,0,0,2.28902,0,0,1.45935,1.45935,1.62066,1.62066,28.2124,29.1846,41.8857,40.8348,43.1238,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,7.16758
36,2013-02-06,00:00:00.00,0.0233328,53.5359,1.45935,1.66131,0,0,46.536,0.995581,0,0,0,2.31524,0,0,1.45935,1.45935,1.66131,1.66131,28.2124,29.1846,41.8857,40.8348,43.15,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,7.81233
37,2013-02-07,00:00:00.00,0.0233328,53.5359,1.45935,1.66131,0,0,46.536,0.995581,0,0,0,2.31524,0,0,1.45935,1.45935,1.66131,1.66131,28.2124,29.1846,41.8857,40.8348,43.15,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,8.38838
38,2013-02-08,00:00:00.00,0.0233328,53.5359,1.45935,2.23727,0,0,62.6694,0.995581,0,0,0,2.68655,0,0,1.45935,1.45935,2.23727,2.23727,28.2124,29.1846,41.8857,40.8348,43.5213,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,8.90306
39,2013-02-09,00:00:00.00,0.0233328,53.5359,1.45935,2.67093,0,0,74.817,0.995581,0,0,0,2.96612,0,0,1.45935,1.45935,2.67093,2.67093,28.2124,29.1846,41.8857,40.8348,43.8009,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,9.36289
40,2013-02-10,00:00:00.00,0.0233328,53.5359,1.45935,2.67093,0,0,74.817,0.995581,0,0,0,2.96612,0,0,1.45935,1.45935,2.67093,2.67093,28.2124,29.1846,41.8857,40.8348,43.8009,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,9.77373
41,2013-02-11,00:00:00.00,0.0233328,53.5359,1.45935,2.83356,0,0,79.3723,0.995581,0,0,0,3.07096,0,0,1.45935,1.45935,2.83356,2.83356,28.2124,29.1846,41.8857,40.8348,43.9057,0.341011,0.341011,27.3814,0.234688,0.234688,13.4534,0,10.1408
