time,date,hour,precip [mm/day],02GA041 [m3/s],02GA-19 [m3/s],02GA-17 [m3/s],16018409002 [m3/s],02GA-13 [m3/s],02GA022 [m3/s],16018406702&02GA014 [m3/s],02GA027 [m3/s],02GA001 [m3/s],02GA016 [m3/s],02GA016 (observed) [m3/s],02GA016 (res. inflow) [m3/s]
0,2013-01-01,00:00.0,---,0.752542,2.03994,2.29979,3.98025,4.78269,7.23957,7.38157,8.24541,8.3909,0,,8.65098
1,2013-01-02,00:00.0,0,0.376271,1.01997,1.14989,1.99468,2.39591,3.62434,3.69535,4.12727,4.20001,0.597344,4.4,4.33005
2,2013-01-03,00:00.0,0.20095,0,0,0,0.00884447,0.00884447,0.00884447,0.00884447,0.00884447,0.00884447,0.991436,4.41,0.00884447
3,2013-01-04,00:00.0,0.602849,0,0,0,0.00822844,0.00822844,0.00822844,0.00822844,0.00822844,0.00822844,0.689618,4.42,0.00822844
4,2013-01-05,00:00.0,0,0,0,0,0.00735769,0.00735769,0.00735769,0.00735769,0.00735769,0.00735769,0.516386,4.42,0.00735769
5,2013-01-06,00:00.0,2.61235,0,0,0,0.00631476,0.00631476,0.00631476,0.00631476,0.00631476,0.00631476,0.385661,4.4,0.00631476
6,2013-01-07,00:00.0,2.0095,0,0,0,0.00530833,0.00530833,0.00530833,0.00530833,0.00530833,0.00530833,0.28749,4.41,0.00530833
7,2013-01-08,00:00.0,0,0,0,0,0.00466249,0.00466249,0.00466249,0.00466249,0.00466249,0.00466249,0.214925,4.44,0.00466249
8,2013-01-09,00:00.0,0,0,0,0,0.00403925,0.00403925,0.00403925,0.00403925,0.00403925,0.00403925,0.160413,4.46,0.00403925
9,2013-01-10,00:00.0,0,0,0,0,0.00311244,0.00311244,0.00311244,0.00311244,0.00311244,0.00311244,0.118215,4.5,0.00311244
10,2013-01-11,00:00.0,5.02374,0,0,0,0.00221808,0.00221808,0.00221808,0.00221808,0.00221808,0.00221808,0.0863793,4.51,0.00221808
11,2013-01-12,00:00.0,5.02374,0,0,0,0.001355,0.001355,0.001355,0.001355,0.001355,0.001355,0.0623135,4.5,0.001355
12,2013-01-13,00:00.0,17.8845,0,0,0,0.000522138,0.000522138,0.000522138,0.000522138,0.000522138,0.000522138,0.044075,4.49,0.000522138
13,2013-01-14,00:00.0,4.82279,0,0,0,5.66E-05,5.66E-05,5.66E-05,5.66E-05,5.66E-05,5.66E-05,0.0302513,19.2,5.66E-05
14,2013-01-15,00:00.0,0.20095,0,0,0,0,0,0,0,0,0,0.0198316,50,0
15,2013-01-16,00:00.0,0,0,0,0,0,0,0,0,0,0,0.01202,69.9,0
16,2013-01-17,00:00.0,0,0,0,0,0,0,0,0,0,0,0.00616901,64.8,0
17,2013-01-18,00:00.0,7.03324,0,0,0,0,0,0,0,0,0,0.00304915,35.4,0
18,2013-01-19,00:00.0,0,0,0,0,0,0,0,0,0,0,0.00121748,8.45,0
19,2013-01-20,00:00.0,3.61709,0,0,0,0,0,0,0,0,0,0,5.74,0
20,2013-01-21,00:00.0,1.40665,0,0,0,0,0,0,0,0,0,0,5.68,0
21,2013-01-22,00:00.0,0.401899,0,0,0,0,0,0,0,0,0,0,5.66,0
22,2013-01-23,00:00.0,0.803799,0,0,0,0,0,0,0,0,0,0,5.66,0
23,2013-01-24,00:00.0,0.20095,0,0,0,0,0,0,0,0,0,0,5.64,0
24,2013-01-25,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.73,0
25,2013-01-26,00:00.0,1.00475,0,0,0,0,0,0,0,0,0,0,5.76,0
26,2013-01-27,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.75,0
27,2013-01-28,00:00.0,7.03324,0,0,0,0,0,0,0,0,0,0,5.72,0
28,2013-01-29,00:00.0,3.21519,0,0,0,0,0,0,0,0,0,0,5.72,0
29,2013-01-30,00:00.0,17.6836,0.546544,1.44091,1.68699,2.56001,3.14029,4.86394,4.96844,5.5992,5.69246,0.900767,5.72,5.82566
30,2013-01-31,00:00.0,7.03324,1.07451,2.82463,3.32872,5.03696,6.17302,9.5553,9.75965,11.0038,11.1884,4.27058,5.93,11.4526
31,2013-02-01,00:00.0,12.2579,0.996741,2.61192,3.09951,4.68086,5.73002,8.86084,9.04932,10.2073,10.3796,7.92692,40.3,10.6268
32,2013-02-02,00:00.0,2.61235,0.887604,2.32555,2.76024,4.1774,5.1116,7.89911,8.06694,9.09808,9.25148,9.22619,60,9.47154
33,2013-02-03,00:00.0,1.00475,0.793029,2.07776,2.46614,3.74099,4.57565,7.06615,7.2161,8.13737,8.27443,9.06644,40.5,8.47104
34,2013-02-04,00:00.0,1.2057,0.708532,1.85637,2.20337,3.35078,4.0965,6.32164,6.45561,7.27872,7.40117,8.41306,14.4,7.57683
35,2013-02-05,00:00.0,0.401899,0.633037,1.65858,1.9686,3.00184,3.66811,5.65616,5.77586,6.51126,6.62067,7.64403,5.86,6.77761
36,2013-02-06,00:00.0,1.2057,0.565587,1.48185,1.75884,2.68981,3.28508,5.0613,5.16825,5.8253,5.92304,6.91424,5.88,6.06327
37,2013-02-07,00:00.0,0,0.505324,1.32396,1.57144,2.41075,2.9426,4.52956,4.62511,5.21215,5.29948,6.24273,5.86,5.42476
38,2013-02-08,00:00.0,17.0807,0.451481,1.18289,1.404,2.16115,2.63633,4.0542,4.13957,4.66406,4.74209,5.6096,5.85,4.85402
39,2013-02-09,00:00.0,12.8608,0.403376,1.05686,1.2544,1.9379,2.36245,3.62925,3.70552,4.17413,4.24384,5.03182,5.86,4.34385
40,2013-02-10,00:00.0,0,0.360396,0.944247,1.12075,1.73819,2.11751,3.24932,3.31747,3.73615,3.79843,4.53735,5.83,3.88778
41,2013-02-11,00:00.0,4.82279,0.321995,0.843637,1.00133,1.55952,1.89842,2.90964,2.97053,3.34459,3.40024,4.10449,5.82,3.48007
42,2013-02-12,00:00.0,3.01425,0.276967,0.724247,0.861678,1.3493,1.6405,2.50843,2.56077,2.88238,2.92996,3.66119,5.83,2.99833
43,2013-02-13,00:00.0,0,0.226017,0.588078,0.703946,1.11066,1.34765,2.05202,2.09464,2.3568,2.39504,3.17715,5.78,2.4502
44,2013-02-14,00:00.0,0,0.181432,0.470342,0.565546,0.900566,1.09053,1.65374,1.6879,1.89812,1.92844,2.69419,5.76,1.97211
45,2013-02-15,00:00.0,0,0.142953,0.36954,0.445359,0.717289,0.866719,1.30927,1.33608,1.50113,1.52485,2.27238,5.76,1.55896
46,2013-02-16,00:00.0,1.00475,0.109465,0.281211,0.34041,0.556616,0.670404,1.00715,1.02751,1.15281,1.17075,1.8935,5.74,1.19684
47,2013-02-17,00:00.0,1.40665,0.0889102,0.227404,0.276135,0.458069,0.550128,0.822428,0.838872,0.940026,0.954472,1.5545,5.72,0.975642
48,2013-02-18,00:00.0,0,0.0794368,0.203174,0.246713,0.412853,0.495103,0.73839,0.753081,0.843458,0.856364,1.29301,5.71,0.875279
49,2013-02-19,00:00.0,4.01899,0.0709728,0.181526,0.220426,0.37233,0.445816,0.66318,0.676306,0.757053,0.768584,1.1007,5.78,0.785483
50,2013-02-20,00:00.0,3.01425,0.0540462,0.137073,0.167446,0.290648,0.346189,0.51031,0.520194,0.580968,0.589603,0.944649,5.82,0.602451
51,2013-02-21,00:00.0,1.00475,0.0389231,0.0973564,0.120112,0.217449,0.256956,0.373507,0.380495,0.423424,0.429472,0.817018,5.78,0.438699
52,2013-02-22,00:00.0,0,0.0347759,0.086983,0.107314,0.197191,0.232488,0.33662,0.342863,0.381219,0.386622,0.716564,5.69,0.394866
53,2013-02-23,00:00.0,0.803799,0.0256906,0.0632885,0.0789359,0.152933,0.178658,0.254412,0.258931,0.286668,0.290538,0.622238,5.74,0.29661
54,2013-02-24,00:00.0,4.42089,0.00928118,0.0222444,0.0282984,0.0749996,0.0840689,0.110688,0.112261,0.121899,0.12322,0.515642,5.76,0.125839
55,2013-02-25,00:00.0,0,0,0,0,0.0305771,0.0305771,0.0305785,0.0305785,0.0305785,0.0305785,0.401554,5.75,0.0311105
56,2013-02-26,00:00.0,0.20095,0,0,0,0.0282973,0.0282973,0.0282976,0.0282976,0.0282976,0.0282976,0.303871,5.72,0.0283925
57,2013-02-27,00:00.0,14.2674,0,0,0,0.0260972,0.0260972,0.0260972,0.0260972,0.0260972,0.0260972,0.230076,5.7,0.0260972
58,2013-02-28,00:00.0,12.057,0,0,0,0.0239742,0.0239742,0.0239742,0.0239742,0.0239742,0.0239742,0.174248,5.73,0.0239742
59,2013-03-01,00:00.0,0,0,0,0,0.0219254,0.0219254,0.0219254,0.0219254,0.0219254,0.0219254,0.131909,5.73,0.0219254
60,2013-03-02,00:00.0,0,0,0,0,0.0205533,0.0205533,0.0205533,0.0205533,0.0205533,0.0205533,0.10195,5.7,0.0205533
61,2013-03-03,00:00.0,0,0,0,0,0.019834,0.019834,0.019834,0.019834,0.019834,0.019834,0.0814301,5.7,0.019834
62,2013-03-04,00:00.0,0,0,0,0,0.0191399,0.0191399,0.0191399,0.0191399,0.0191399,0.0191399,0.0658832,5.71,0.0191399
63,2013-03-05,00:00.0,0,0,0,0,0.0184701,0.0184701,0.0184701,0.0184701,0.0184701,0.0184701,0.0540672,5.7,0.0184701
64,2013-03-06,00:00.0,0,0,0,0,0.0178238,0.0178238,0.0178238,0.0178238,0.0178238,0.0178238,0.0450517,5.69,0.0178238
65,2013-03-07,00:00.0,1.80855,0,0,0,0.0157506,0.0157506,0.0157506,0.0157506,0.0157506,0.0157506,0.0327277,5.67,0.0157506
66,2013-03-08,00:00.0,0.602849,0,0,0,0.01166,0.01166,0.01166,0.01166,0.01166,0.01166,0.015182,5.67,0.01166
67,2013-03-09,00:00.0,0,0.108177,0.296666,0.330183,0.516145,0.635189,0.989263,1.01093,1.13755,1.1569,0.146061,5.65,1.1818
68,2013-03-10,00:00.0,0,0.182389,0.50155,0.554515,0.86057,1.06173,1.66007,1.69668,1.90921,1.94187,0.49387,5.66,1.98362
69,2013-03-11,00:00.0,2.61235,1.08675,2.90161,3.34426,5.10127,6.26776,9.73691,9.9477,11.2083,11.3973,3.21943,5.69,11.6483
70,2013-03-12,00:00.0,22.1045,3.73854,9.97338,11.5077,17.484,21.478,33.4226,34.1408,38.467,39.1285,17.938,5.78,40.0143
71,2013-03-13,00:00.0,0.602849,5.16775,13.8006,15.9027,24.1693,29.6883,46.2246,47.2158,53.1942,54.1152,40.9863,5.96,55.3494
72,2013-03-14,00:00.0,0.602849,4.61849,12.3394,14.2143,21.6592,26.5946,41.3789,42.2656,47.6125,48.4355,50.7957,33.3,49.5371
73,2013-03-15,00:00.0,0,4.12153,11.0113,12.6848,19.3787,23.783,36.976,37.7673,42.5388,43.2731,47.3138,48.7,44.256
74,2013-03-16,00:00.0,0.803799,3.6729,9.81195,11.3041,17.3176,21.2424,32.9982,33.7034,37.9553,38.6095,42.5186,45.8,39.485
75,2013-03-17,00:00.0,1.2057,3.27207,8.74039,10.0705,15.4743,18.9706,29.4424,30.0706,33.8583,34.4409,38.0583,48.1,35.2206
76,2013-03-18,00:00.0,0,2.92343,7.8091,8.99746,13.87,16.9938,26.3498,26.9111,30.2953,30.8158,34.0961,46.7,31.5123
77,2013-03-19,00:00.0,3.21519,2.61194,6.97704,8.03878,12.4417,15.2326,23.5917,24.0932,27.1168,27.5819,30.5868,29.4,28.2042
78,2013-03-20,00:00.0,1.40665,2.32647,6.21391,7.1602,11.1358,13.6217,21.0663,21.513,24.206,24.6201,27.428,20,25.1741
79,2013-03-21,00:00.0,0.401899,2.07141,5.53209,6.37525,9.96575,12.179,18.8066,19.2043,21.602,21.9705,24.5734,19.9,22.4635
80,2013-03-22,00:00.0,1.6076,1.8507,4.94264,5.69596,8.95095,10.9284,16.8498,17.2052,19.3473,19.6766,22.0253,20.1,20.1171
81,2013-03-23,00:00.0,0.20095,1.65097,4.40902,5.08125,8.02926,9.79322,15.0754,15.3923,17.3033,17.597,19.7747,20.1,17.9898
82,2013-03-24,00:00.0,0,1.44684,3.86157,4.45306,7.08087,8.62636,13.2521,13.5299,15.204,15.4608,17.6357,19.8,15.804
83,2013-03-25,00:00.0,0,1.25288,3.34059,3.85622,6.1749,7.51268,11.5136,11.7541,13.2031,13.4246,15.54,18,13.7202
84,2013-03-26,00:00.0,0,1.15579,3.08933,3.55715,5.72438,6.96258,10.6606,10.8837,12.224,12.428,13.8691,10.9,12.6991
85,2013-03-27,00:00.0,0,1.61612,4.31834,4.9856,7.899,9.6345,14.7999,15.1135,16.9974,17.2798,14.753,6.49,17.6541
86,2013-03-28,00:00.0,1.40665,1.97481,5.27706,6.10537,9.60286,11.7267,18.0374,18.4219,20.7341,21.0779,18.1981,6.51,21.5331
87,2013-03-29,00:00.0,0,2.07565,5.52388,6.42459,10.0821,12.3192,18.9311,19.3348,21.7622,22.1164,21.0208,6.55,22.5888
88,2013-03-30,00:00.0,0,2.16632,5.6874,6.79806,10.5554,12.8676,19.6821,20.0976,22.6526,23.0188,22.522,6.64,23.5059
89,2013-03-31,00:00.0,0,1.9055,4.95268,6.06866,9.37007,11.3805,17.3162,17.677,19.9537,20.2794,22.1561,6.84,20.7092
90,2013-04-01,00:00.0,2.8133,1.7412,4.51271,5.52209,8.54192,10.3717,15.7888,16.116,18.1797,18.4811,20.3179,6.88,18.8813
91,2013-04-02,00:00.0,7.63609,1.62291,4.19553,5.1258,7.94951,9.64954,14.6938,14.9969,16.9058,17.1899,18.7367,6.61,17.5685
92,2013-04-03,00:00.0,1.6076,1.44999,3.7485,4.57964,7.14879,8.66767,13.1745,13.4452,15.1508,15.4046,17.2098,6.46,15.7429
93,2013-04-04,00:00.0,0,1.29549,3.34909,4.09168,6.43046,7.78751,11.8141,12.056,13.5798,13.8066,15.5698,6.37,14.1089
94,2013-04-05,00:00.0,0,1.15745,2.99225,3.65571,5.78594,6.99839,10.596,10.8121,12.1735,12.3762,14.0241,6.33,12.6462
95,2013-04-06,00:00.0,0,1.11963,2.89035,3.53449,5.61266,6.78734,10.265,10.4747,11.7939,11.9901,12.9349,6.28,12.2512
96,2013-04-07,00:00.0,0.401899,1.08583,2.79932,3.42619,5.45641,6.59732,9.96779,10.1719,11.4533,11.6438,12.3574,6.23,11.8968
97,2013-04-08,00:00.0,0,1.1464,2.951,3.58305,5.67328,6.86892,10.428,10.6404,11.9674,12.1723,12.1885,6.21,12.4478
98,2013-04-09,00:00.0,10.4494,1.59637,4.15762,4.90781,7.64474,9.30549,14.3308,14.6228,16.4263,16.7253,13.9222,33.1,17.1346
99,2013-04-10,00:00.0,24.7168,2.75869,7.32691,8.38989,12.8953,15.7851,24.6434,25.1493,28.241,28.7779,20.774,72.9,29.5184
100,2013-04-11,00:00.0,13.4636,3.93409,10.5341,11.9216,18.2803,22.4155,35.1493,35.8725,40.2744,41.0499,32.6179,135,42.1128
101,2013-04-12,00:00.0,16.6788,4.04769,10.8584,12.2567,18.924,23.1822,36.3075,37.0521,41.5802,42.3804,41.0907,168,43.47
102,2013-04-13,00:00.0,12.2579,3.72151,9.98821,11.2775,17.6105,21.529,33.6019,34.2877,38.4596,39.1957,41.7335,97.3,40.1989
103,2013-04-14,00:00.0,2.4114,3.98654,10.7011,12.1156,19.0391,23.2496,36.1705,36.9108,41.4103,42.1901,41.7268,73.7,43.2525
104,2013-04-15,00:00.0,0,4.58743,12.2706,13.9963,22.0124,26.8585,41.6563,42.5116,47.7174,48.5973,45.9402,58.3,49.7926
105,2013-04-16,00:00.0,1.00475,4.55865,12.2107,13.8791,21.9219,26.7381,41.475,42.3208,47.4777,48.3544,49.1528,44.5,49.5298
106,2013-04-17,00:00.0,1.40665,3.96068,10.6495,11.9978,19.1632,23.3513,36.2209,36.951,41.4015,42.1721,46.5193,33.7,43.1906
107,2013-04-18,00:00.0,14.6693,3.89042,10.4433,11.7914,18.9337,23.0436,35.6595,36.3767,40.7474,41.5001,43.1309,22.6,42.4954
108,2013-04-19,00:00.0,14.6693,4.3492,11.666,13.202,21.1342,25.729,39.8116,40.6153,45.5123,46.3483,44.6221,19.8,47.458
109,2013-04-20,00:00.0,4.62184,4.31219,11.5532,13.0924,21.0415,25.5935,39.536,40.3327,45.1853,46.0107,46.8041,57.1,47.107
110,2013-04-21,00:00.0,0.20095,3.86064,10.3341,11.7173,19.044,23.116,35.5872,36.2996,40.6382,41.3759,44.8965,74.5,42.3548
111,2013-04-22,00:00.0,0,3.44929,9.23298,10.4689,17.2266,20.8648,32.0072,32.6437,36.52,37.1791,40.8016,47.8,38.0537
112,2013-04-23,00:00.0,0,3.0136,8.06161,9.1438,15.2549,18.4317,28.1609,28.7164,32.0996,32.6749,36.4344,19.4,33.4374
113,2013-04-24,00:00.0,0.602849,2.5125,6.70729,7.61607,12.9335,15.5772,23.6729,24.1345,26.9458,27.4239,31.5721,4.9,28.0555
114,2013-04-25,00:00.0,9.04274,2.3044,6.13682,6.98058,11.9313,14.3509,21.7572,22.1794,24.7496,25.1857,27.6419,4.82,25.7607
115,2013-04-26,00:00.0,2.4114,2.24543,5.97171,6.79988,11.6248,13.9797,21.1853,21.5961,24.0962,24.5195,25.808,4.75,25.0778
116,2013-04-27,00:00.0,0,1.95313,5.18465,5.90897,10.2497,12.2943,18.5507,18.907,21.0744,21.4416,23.9599,7.93,21.9245
117,2013-04-28,00:00.0,0,1.56503,4.13687,4.72591,8.40548,10.0376,15.0305,15.3142,17.0391,17.3313,20.6885,9.33,17.713
118,2013-04-29,00:00.0,7.23419,1.34317,3.52893,4.04692,7.30059,8.69381,12.9529,13.1943,14.6615,14.9093,17.4171,9.66,15.2306
119,2013-04-30,00:00.0,0,1.14494,2.98577,3.44027,6.30762,7.48741,11.0909,11.2945,12.5313,12.7394,14.9135,9.53,13.0068
120,2013-05-01,00:00.0,0,0.799281,2.05209,2.38597,4.6438,5.45601,7.93393,8.07278,8.91498,9.05633,12.1804,8.57,9.23346
121,2013-05-02,00:00.0,0,0.367014,0.878212,1.06448,2.5503,2.90061,3.96363,4.02091,4.36682,4.42501,8.5892,5.27,4.49379
122,2013-05-03,00:00.0,0,0.0489263,0.0724483,0.120235,1.01925,1.05019,1.1398,1.14295,1.16086,1.16412,5.00995,4.59,1.16563
123,2013-05-04,00:00.0,0,0,0,0,0.729437,0.729437,0.729437,0.729437,0.729437,0.729437,2.71835,4.58,0.729437
124,2013-05-05,00:00.0,0,0,0,0,0.621813,0.621813,0.621813,0.621813,0.621813,0.621813,1.63595,4.58,0.621813
125,2013-05-06,00:00.0,0,0,0,0,0.53474,0.53474,0.53474,0.53474,0.53474,0.53474,1.06069,4.58,0.53474
126,2013-05-07,00:00.0,0,0,0,0,0.453159,0.453159,0.453159,0.453159,0.453159,0.453159,0.753759,4.6,0.453159
127,2013-05-08,00:00.0,0,0,0,0,0.376723,0.376723,0.376723,0.376723,0.376723,0.376723,0.572914,4.62,0.376723
128,2013-05-09,00:00.0,0.803799,0,0,0,0.305108,0.305108,0.305108,0.305108,0.305108,0.305108,0.418879,4.63,0.305108
129,2013-05-10,00:00.0,0.20095,0,0,0,0.244772,0.244772,0.244772,0.244772,0.244772,0.244772,0.286946,4.65,0.244772
130,2013-05-11,00:00.0,23.1092,0.140013,0.344957,0.416379,0.829372,0.967036,1.38101,1.40451,1.54601,1.56769,0.377311,4.67,1.59973
131,2013-05-12,00:00.0,0.20095,0.265108,0.653158,0.788393,1.37192,1.63258,2.41641,2.46091,2.72884,2.76989,0.877855,4.68,2.83055
132,2013-05-13,00:00.0,2.61235,0.236861,0.583564,0.704389,1.24333,1.47622,2.17653,2.21628,2.45567,2.49234,1.50143,4.72,2.54654
133,2013-05-14,00:00.0,0,0.211623,0.521385,0.629336,1.12782,1.3359,1.96159,1.99711,2.21099,2.24376,1.88301,4.7,2.29218
134,2013-05-15,00:00.0,0.803799,0.189074,0.465831,0.56228,1.02403,1.20994,1.76896,1.8007,1.99179,2.02106,2.00574,4.71,2.06432
135,2013-05-16,00:00.0,0,0.0892173,0.219809,0.26532,0.570223,0.657944,0.921731,0.936706,1.02688,1.04069,1.77683,4.72,1.06235
136,2013-05-17,00:00.0,0,0,0,0,0.155946,0.155946,0.155949,0.155949,0.155949,0.155949,1.21482,4.72,0.157195
137,2013-05-18,00:00.0,0,0,0,0,0.143788,0.143788,0.143788,0.143788,0.143788,0.143788,0.802557,4.72,0.143788
138,2013-05-19,00:00.0,0,0,0,0,0.130395,0.130395,0.130395,0.130395,0.130395,0.130395,0.605367,4.72,0.130395
139,2013-05-20,00:00.0,0,0,0,0,0.104196,0.104196,0.104196,0.104196,0.104196,0.104196,0.404797,4.72,0.104196
140,2013-05-21,00:00.0,12.057,0,0,0,0.0739976,0.0739976,0.0739976,0.0739976,0.0739976,0.0739976,0.229754,4.74,0.0739976
141,2013-05-22,00:00.0,32.9557,0.618344,1.63643,1.87729,2.86456,3.51071,5.47968,5.5931,6.2815,6.39472,1.15066,4.79,6.55075
142,2013-05-23,00:00.0,2.21045,0.935535,2.45104,2.83116,4.27394,5.24298,8.19106,8.36047,9.38749,9.55496,3.99957,14,9.78545
143,2013-05-24,00:00.0,2.8133,0.496537,1.25608,1.48618,2.24146,2.74031,4.24922,4.33518,4.8541,4.93608,5.57187,10.6,5.04832
144,2013-05-25,00:00.0,0.20095,0.339583,0.835905,1.0079,1.52259,1.85577,2.85892,2.91567,3.25704,3.30955,4.77919,8.18,3.3811
145,2013-05-26,00:00.0,0,0.3034,0.746839,0.900508,1.36647,1.66415,2.56042,2.61112,2.91612,2.96303,3.9511,6.2,3.02696
146,2013-05-27,00:00.0,0,0.271073,0.667263,0.804558,1.22678,1.49274,2.29351,2.33881,2.61131,2.65323,3.40207,4.88,2.71034
147,2013-05-28,00:00.0,3.01425,0.152872,0.354902,0.445711,0.685252,0.827952,1.25314,1.2768,1.41709,1.43778,2.73318,4.72,1.4673
148,2013-05-29,00:00.0,17.2817,0.288712,0.727052,0.863367,1.30551,1.59467,2.46807,2.51782,2.81715,2.86462,2.39508,4.98,2.92883
149,2013-05-30,00:00.0,1.2057,0.26808,0.687007,0.80188,1.20525,1.4772,2.30327,2.35074,2.63836,2.68491,2.46464,29.8,2.74655
150,2013-05-31,00:00.0,1.00475,0.00432978,0,0.00458234,0.00458234,0.00458234,0.00458276,0.00458276,0.00458276,0.00458276,1.85324,47.8,0.00458276
151,2013-06-01,00:00.0,5.62659,0,0,0,0,0,0,0,0,0,0.992449,25.9,0
152,2013-06-02,00:00.0,13.2627,0.0841378,0.198779,0.24549,0.362447,0.441854,0.680204,0.693408,0.77213,0.783982,0.664068,17.2,0.797648
153,2013-06-03,00:00.0,2.0095,0.0841378,0.198779,0.24549,0.362447,0.441854,0.680204,0.693408,0.77213,0.783982,0.599706,18.6,0.797648
154,2013-06-04,00:00.0,0,0,0,0,0,0,0,0,0,0,0.514339,18.6,0
155,2013-06-05,00:00.0,0,0,0,0,0,0,0,0,0,0,0.385246,14.2,0
156,2013-06-06,00:00.0,0,0,0,0,0,0,0,0,0,0,0.288554,11.6,0
157,2013-06-07,00:00.0,5.22469,0,0,0,0,0,0,0,0,0,0.216131,6.92,0
158,2013-06-08,00:00.0,0.20095,0,0,0,0,0,0,0,0,0,0.161885,5.81,0
159,2013-06-09,00:00.0,0,0,0,0,0,0,0,0,0,0,0.121254,6.28,0
160,2013-06-10,00:00.0,4.82279,0,0,0,0,0,0,0,0,0,0.0878616,6.3,0
161,2013-06-11,00:00.0,17.4826,0.412188,1.08535,1.25128,1.87565,2.30492,3.61029,3.68559,4.14263,4.21708,0.674981,6.33,4.31568
162,2013-06-12,00:00.0,0,0.589173,1.52864,1.78107,2.66539,3.27133,5.10876,5.21448,5.85512,5.95793,2.27379,13.4,6.09182
163,2013-06-13,00:00.0,2.21045,0.176985,0.443288,0.529795,0.789741,0.966417,1.49847,1.52889,1.71248,1.74086,2.84154,20.7,1.77614
164,2013-06-14,00:00.0,2.21045,0,0,0,0,0,0,0,0,0,1.86728,22.4,0
165,2013-06-15,00:00.0,0,0,0,0,0,0,0,0,0,0,1.05322,19.2,0
166,2013-06-16,00:00.0,5.02374,0,0,0,0,0,0,0,0,0,0.686886,12,0
167,2013-06-17,00:00.0,16.4779,0.384465,1.00938,1.16592,1.74702,2.14636,3.36025,3.43022,3.85467,3.92366,1.15955,11.4,4.01449
168,2013-06-18,00:00.0,0.401899,0.595599,1.54693,1.80061,2.69474,3.30775,5.1673,5.27427,5.92242,6.02666,2.70357,11.5,6.1621
169,2013-06-19,00:00.0,0,0.39977,1.01782,1.20175,1.79448,2.19902,3.42156,3.49162,3.91518,3.98193,3.77528,10.3,4.06638
170,2013-06-20,00:00.0,0,0.357174,0.909375,1.0737,1.60327,1.96472,3.05699,3.11958,3.49802,3.55765,3.81305,6.01,3.63311
171,2013-06-21,00:00.0,0,0.304584,0.772486,0.914616,1.36513,1.67234,2.60004,2.65317,2.9742,3.02459,3.57756,4.93,3.08799
172,2013-06-22,00:00.0,0,0.136047,0.343385,0.407974,0.6086,0.745263,1.15756,1.18115,1.32362,1.34586,2.83187,4.93,1.37366
173,2013-06-23,00:00.0,12.6598,0.167597,0.425478,0.502012,0.748725,0.917586,1.42879,1.45791,1.63369,1.66162,2.03736,4.93,1.69664
174,2013-06-24,00:00.0,0,0.167597,0.425478,0.502012,0.748725,0.917586,1.42879,1.45791,1.63369,1.66162,1.6838,4.93,1.69664
175,2013-06-25,00:00.0,12.2579,0.0882022,0.2105,0.25843,0.38217,0.466212,0.718657,0.732713,0.816684,0.829396,1.29998,4.93,0.843972
176,2013-06-26,00:00.0,0.401899,0.0882022,0.2105,0.25843,0.38217,0.466212,0.718657,0.732713,0.816684,0.829396,0.932488,4.95,0.843972
177,2013-06-27,00:00.0,0,0,0,0,0,0,0,0,0,0,0.651729,4.94,0
178,2013-06-28,00:00.0,10.4494,0,0,0,0,0,0,0,0,0,0.360194,4.95,0
179,2013-06-29,00:00.0,11.2532,0,0,0,0,0,0,0,0,0,0.158866,4.96,0
180,2013-06-30,00:00.0,0.401899,0,0,0,0,0,0,0,0,0,0.0411934,9.5,0
181,2013-07-01,00:00.0,0,0,0,0,0,0,0,0,0,0,0,6.98,0
182,2013-07-02,00:00.0,0,0,0,0,0,0,0,0,0,0,0,4.93,0
183,2013-07-03,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.94,0
184,2013-07-04,00:00.0,32.1519,0.587621,1.53324,1.77039,2.64751,3.25276,5.09736,5.20274,5.84072,5.94549,0.774223,6.75,6.08816
185,2013-07-05,00:00.0,2.0095,0.777428,1.98063,2.32147,3.46023,4.24375,6.62499,6.75993,7.57407,7.70561,2.90043,6.78,7.8832
186,2013-07-06,00:00.0,15.6741,0.319631,0.763321,0.932756,1.37826,1.68214,2.59804,2.64878,2.95196,2.99848,3.83751,6.79,3.05788
187,2013-07-07,00:00.0,5.22469,0.129824,0.315927,0.381677,0.565542,0.691148,1.0704,1.09159,1.21861,1.23835,2.78716,6.11,1.26284
188,2013-07-08,00:00.0,7.83704,0,0,0,0,0,0,0,0,0,1.59103,5.63,0
189,2013-07-09,00:00.0,19.0902,0.267852,0.683326,0.801237,1.19483,1.46534,2.28678,2.33342,2.61496,2.66032,1.26797,13.4,2.71954
190,2013-07-10,00:00.0,2.61235,0.298135,0.720053,0.874407,1.29459,1.58144,2.4459,2.49427,2.78293,2.82837,1.72252,70.1,2.88841
191,2013-07-11,00:00.0,0,0.0302835,0.0367273,0.0731703,0.0997591,0.116101,0.159126,0.160847,0.167973,0.168048,1.45797,76.6,0.168873
192,2013-07-12,00:00.0,0,0,0,0,0,0,0,0,0,0,0.843163,5.74,0
193,2013-07-13,00:00.0,0,0,0,0,0,0,0,0,0,0,0.599598,8.08,0
194,2013-07-14,00:00.0,0,0,0,0,0,0,0,0,0,0,0.398239,21.3,0
