time [d], date, hour, day_angle, rain [mm/d], snow [mm/d], temp [C], temp_daily_min [C], temp_daily_max [C],temp_daily_ave [C],temp_monthly_min [C],temp_monthly_max [C], air_density [kg/m3], air_pressure [KPa], rel_humidity [-], cloud_cover [-], ET_radiation [MJ/m2/d], SW_radiation [MJ/m2/d], net_SW_radiation [MJ/m2/d], LW_incoming [MJ/m2/d], net_LW_radiation [MJ/m2/d], wind_speed [m/s], PET [mm/d], OW_PET [mm/d], daily_correction [-], potential_melt [mm/d]
1,2013-01-02,00:00:00.00,0.0086071,0,0,-8.53394,-10.0339,-7.03394,-8.53394,-33333.3,-33333.3,1.25199,95.2116,0.5,0,13.4913,9.70042,7.58127,16.0408,-7.74745,2,0.00785088,0.00785088,1,-24.2049
2,2013-01-03,00:00:00.00,0.0258213,1.11022e-16,0.20095,-7.53394,-10.5339,-4.53394,-7.53394,-33333.3,-33333.3,1.24744,95.2339,0.5,0,13.5469,9.72835,7.60312,16.4251,-7.72468,2,0.0500599,0.0500599,1,-21.4419
3,2013-01-04,00:00:00.00,0.0430355,-1.11022e-16,0.602849,-6.78394,-10.0339,-3.53394,-6.78394,-33333.3,-33333.3,1.24404,95.2506,0.5,0,13.607,9.76374,3.29581,16.7184,-7.70532,2,0.0817167,0.0817167,1,-19.3794
4,2013-01-05,00:00:00.00,0.0602497,0,0,-4.03394,-6.03394,-2.03394,-4.03394,-33333.3,-33333.3,1.23166,95.3109,0.5,0,13.6716,9.76024,3.2949,17.8311,-7.61696,2,0.168836,0.168836,1,-11.5699
5,2013-01-06,00:00:00.00,0.0774639,4.44089e-16,2.61235,-2.28394,-5.03394,0.466056,-2.28394,-33333.3,-33333.3,1.22385,95.3486,0.5,0,13.7407,9.77632,3.30056,18.5705,-7.54597,2,0.168836,0.168836,1,-6.57884
6,2013-01-07,00:00:00.00,0.0946781,0,2.0095,-1.53394,-3.03394,-0.0339442,-1.53394,-33333.3,-33333.3,1.22052,95.3646,0.5,0,13.8142,9.81789,3.31476,18.895,-7.51189,2,0.168836,0.168836,1,-4.43874
7,2013-01-08,00:00:00.00,0.111892,0,0,-8.03394,-14.5339,-1.53394,-8.03394,-33333.3,-33333.3,1.24971,95.2228,0.5,0,13.8922,10.0218,3.38332,16.232,-7.7365,2,0.0289554,0.0289554,1,-23.3608
8,2013-01-09,00:00:00.00,0.129107,0,0,-2.53394,-5.03394,-0.0339442,-2.53394,-33333.3,-33333.3,1.22496,95.3432,0.5,0,13.9745,9.9738,3.3676,18.4633,-7.55683,2,0.168836,0.168836,1,-7.4059
9,2013-01-10,00:00:00.00,0.146321,0,0,-1.28394,-6.03394,3.46606,-1.28394,-33333.3,-33333.3,1.21941,95.37,0.5,0,14.0613,10.0136,3.38126,19.0042,-7.50003,2,0.168836,0.168836,1,-3.7728
10,2013-01-11,00:00:00.00,0.163535,4.78812,0.23562,0.966056,-2.03394,3.96606,0.966056,-33333.3,-33333.3,1.20949,95.4175,0.5,0,14.1525,10.0263,3.38589,19.9911,-7.40146,2,0.168836,0.168836,1,2.85479
11,2013-01-12,00:00:00.00,0.180749,5.02374,0,2.46606,-1.03394,5.96606,2.46606,-33333.3,-33333.3,1.20295,95.4487,0.5,0,14.2481,10.0588,3.39714,20.6539,-7.34319,2,0.168836,0.168836,1,7.33046
12,2013-01-13,00:00:00.00,0.197963,17.8845,0,6.21606,2.46606,9.96606,6.21606,-33333.3,-33333.3,1.18672,95.5254,0.5,0,14.348,10.0103,7.91969,22.3874,-7.16469,2,0.168836,0.168836,1,18.5912
13,2013-01-14,00:00:00.00,0.215178,4.82279,0,6.71606,4.96606,8.46606,6.71606,-33333.3,-33333.3,1.18457,95.5355,0.5,0,14.4522,10.0753,8.08255,22.627,-7.13722,2,0.168836,0.168836,1,20.2151
14,2013-01-15,00:00:00.00,0.232392,1.11022e-16,0.20095,-4.53394,-5.03394,-4.03394,-4.53394,-33333.3,-33333.3,1.2339,95.3,0.5,0,14.5607,10.502,8.45556,17.6243,-7.6351,2,0.168836,0.168836,1,-13.7374
15,2013-01-16,00:00:00.00,0.249606,0,0,-4.53394,-7.03394,-2.03394,-4.53394,-33333.3,-33333.3,1.2339,95.3,0.5,0,14.6735,10.5949,3.57838,17.6243,-7.6351,2,0.168836,0.168836,1,-13.8316
16,2013-01-17,00:00:00.00,0.26682,0,0,-3.78394,-7.53394,-0.0339442,-3.78394,-33333.3,-33333.3,1.23054,95.3163,0.5,0,14.7906,10.6741,3.60534,17.9352,-7.60754,2,0.168836,0.168836,1,-11.6253
17,2013-01-18,00:00:00.00,0.284034,0,7.03324,-8.28394,-9.53394,-7.03394,-8.28394,-33333.3,-33333.3,1.25085,95.2172,0.5,0,14.9118,10.8692,3.67122,16.1361,-7.74208,2,0.0184031,0.0184031,1,-25.6359
18,2013-01-19,00:00:00.00,0.301249,0,0,-6.03394,-13.5339,1.46606,-6.03394,-33333.3,-33333.3,1.24065,95.2671,0.5,0,15.0373,10.928,3.69141,17.016,-7.68395,2,0.113373,0.113373,1,-18.8129
19,2013-01-20,00:00:00.00,0.318463,4.44089e-16,3.61709,-1.53394,-7.53394,4.46606,-1.53394,-33333.3,-33333.3,1.22052,95.3646,0.5,0,15.1668,10.927,3.69154,18.895,-7.51189,2,0.168836,0.168836,1,-4.81936
20,2013-01-21,00:00:00.00,0.335677,-4.44089e-16,1.40665,-7.78394,-8.53394,-7.03394,-7.78394,-33333.3,-33333.3,1.24858,95.2283,0.5,0,15.3005,11.1818,3.77748,16.3283,-7.7307,2,0.0395076,0.0395076,1,-24.6485
21,2013-01-22,00:00:00.00,0.352891,2.22045e-16,0.401899,-10.2839,-11.5339,-9.03394,-10.2839,-33333.3,-33333.3,1.26002,95.172,0.5,0,15.4383,11.3423,3.83182,15.386,-7.77915,2,0,0,1,-32.8277
22,2013-01-23,00:00:00.00,0.370105,4.44089e-16,0.803799,-15.2839,-16.5339,-14.0339,-15.2839,-33333.3,-33333.3,1.28336,95.0563,0.5,0,15.5801,11.5366,3.89754,13.6365,-7.81588,2,0,0,1,-49.1905
23,2013-01-24,00:00:00.00,0.38732,1.11022e-16,0.20095,-18.5339,-25.0339,-12.0339,-18.5339,-33333.3,-33333.3,1.29889,94.9786,0.5,0,15.726,11.6983,3.95234,12.5908,-7.80039,2,0,0,1,-60.1523
24,2013-01-25,00:00:00.00,0.404534,0,0,-15.0339,-17.5339,-12.5339,-15.0339,-33333.3,-33333.3,1.28217,95.0622,0.5,0,15.8757,11.7802,3.98036,13.7198,-7.81584,2,0,0,1,-49.2114
25,2013-01-26,00:00:00.00,0.421748,0,1.00475,-14.7839,-19.5339,-10.0339,-14.7839,-33333.3,-33333.3,1.28099,95.068,0.5,0,16.0294,11.9052,4.02287,13.8036,-7.81561,2,0,0,1,-48.8156
26,2013-01-27,00:00:00.00,0.438962,0,0,-9.78394,-14.0339,-5.53394,-9.78394,-33333.3,-33333.3,1.25772,95.1834,0.5,0,16.187,11.9564,4.04065,15.5708,-7.77113,2,0,0,1,-32.5927
27,2013-01-28,00:00:00.00,0.456176,0,7.03324,-10.7839,-18.5339,-3.03394,-10.7839,-33333.3,-33333.3,1.26232,95.1607,0.5,0,16.3484,12.1089,4.09241,15.2031,-7.78634,2,0,0,1,-36.248
28,2013-01-29,00:00:00.00,0.473391,1.77636e-15,3.21519,-1.78394,-6.03394,2.46606,-1.78394,-33333.3,-33333.3,1.22163,95.3593,0.5,0,16.5136,12.0439,4.07119,18.7863,-7.52349,2,0.168836,0.168836,1,-6.05123
29,2013-01-30,00:00:00.00,0.490605,17.6836,0,5.71606,-0.533944,11.9661,5.71606,-33333.3,-33333.3,1.18888,95.5153,0.5,0,16.6825,11.9253,4.032,22.1498,-7.19128,2,0.168836,0.168836,1,19.5692
30,2013-01-31,00:00:00.00,0.507819,7.03324,0,6.71606,0.966056,12.4661,6.71606,-33333.3,-33333.3,1.18457,95.5355,0.5,0,16.855,12.0237,4.06564,22.627,-7.13722,2,0.168836,0.168836,1,23.2088
31,2013-02-01,00:00:00.00,0.525033,-1.77636e-15,12.2579,-7.03394,-8.53394,-5.53394,-7.03394,-33333.3,-33333.3,1.24517,95.245,0.5,0,17.0312,12.6042,10.4114,16.6202,-7.71199,2,0.0711644,0.0711644,1,-24.5385
32,2013-02-02,00:00:00.00,0.542247,4.44089e-16,2.61235,-11.7839,-15.0339,-8.53394,-11.7839,-33333.3,-33333.3,1.26695,95.1378,0.5,0,17.211,12.8467,4.34328,14.8426,-7.79832,2,0,0,1,-41.5048
33,2013-02-03,00:00:00.00,0.559462,0,1.00475,-10.7839,-13.5339,-8.03394,-10.7839,-33333.3,-33333.3,1.26232,95.1607,0.5,0,17.3942,12.9823,4.38947,15.2031,-7.78634,2,0,0,1,-38.3517
34,2013-02-04,00:00:00.00,0.576676,-2.22045e-16,1.2057,-15.0339,-23.0339,-7.03394,-15.0339,-33333.3,-33333.3,1.28217,95.0622,0.5,0,17.5809,13.2082,4.46605,13.7198,-7.81584,2,0,0,1,-53.9909
35,2013-02-05,00:00:00.00,0.59389,2.22045e-16,0.401899,-10.0339,-12.0339,-8.03394,-10.0339,-33333.3,-33333.3,1.25887,95.1777,0.5,0,17.771,13.2833,4.49194,15.4782,-7.77524,2,0,0,1,-36.3912
36,2013-02-06,00:00:00.00,0.611104,-2.22045e-16,1.2057,-11.0339,-16.5339,-5.53394,-11.0339,-33333.3,-33333.3,1.26348,95.155,0.5,0,17.9644,13.4639,4.55334,15.1123,-7.78964,2,0,0,1,-40.4172
37,2013-02-07,00:00:00.00,0.628319,0,0,-9.78394,-13.0339,-6.53394,-9.78394,-33333.3,-33333.3,1.25772,95.1834,0.5,0,18.161,13.6047,4.60134,15.5708,-7.77113,2,0,0,1,-36.1987
38,2013-02-08,00:00:00.00,0.645533,3.55271e-15,17.0807,-9.78394,-15.5339,-4.03394,-9.78394,-33333.3,-33333.3,1.25772,95.1834,0.5,0,18.3609,13.772,4.65826,15.5708,-7.77113,2,0,0,1,-36.565
39,2013-02-09,00:00:00.00,0.662747,7.10543e-15,12.8608,-10.2839,-11.0339,-9.53394,-10.2839,-33333.3,-33333.3,1.26002,95.172,0.5,0,18.5639,13.9519,4.71943,15.386,-7.77915,2,0,0,1,-38.8248
40,2013-02-10,00:00:00.00,0.679961,0,0,-9.78394,-16.0339,-3.53394,-9.78394,-33333.3,-33333.3,1.25772,95.1834,0.5,0,18.7699,14.1145,4.77484,15.5708,-7.77113,2,0,0,1,-37.3153
41,2013-02-11,00:00:00.00,0.697175,-8.88178e-16,4.82279,-9.78394,-21.0339,1.46606,-9.78394,-33333.3,-33333.3,1.25772,95.1834,0.5,0,18.9789,14.2897,4.83445,15.5708,-7.77113,2,0,0,1,-37.6991
42,2013-02-12,00:00:00.00,0.71439,0.989012,2.02523,0.466056,-3.03394,3.96606,0.466056,-33333.3,-33333.3,1.21168,95.407,0.5,0,19.1907,14.1885,4.80114,19.774,-7.41927,2,0.260046,0.260046,1,1.81436
43,2013-02-13,00:00:00.00,0.731604,0,0,-2.28394,-3.03394,-1.53394,-2.28394,-33333.3,-33333.3,1.22385,95.3486,0.5,0,19.4055,14.457,4.89218,18.5705,-7.54597,2,0.260046,0.260046,1,-8.98348
44,2013-02-14,00:00:00.00,0.748818,0,0,-4.03394,-5.53394,-2.53394,-4.03394,-33333.3,-33333.3,1.23166,95.3109,0.5,0,19.6229,14.6897,4.9712,17.8311,-7.61696,2,0.260046,0.260046,1,-16.0319
45,2013-02-15,00:00:00.00,0.766032,0,0,-3.78394,-9.03394,1.46606,-3.78394,-33333.3,-33333.3,1.23054,95.3163,0.5,0,19.8431,14.8663,5.03134,17.9352,-7.60754,2,0.260046,0.260046,1,-15.1952
46,2013-02-16,00:00:00.00,0.783246,0,1.00475,-5.03394,-6.53394,-3.53394,-5.03394,-33333.3,-33333.3,1.23614,95.2891,0.5,0,20.0658,15.0873,5.10646,17.4196,-7.6523,2,0.246914,0.246914,1,-20.4261
47,2013-02-17,00:00:00.00,0.800461,-4.44089e-16,1.40665,-10.0339,-16.5339,-3.53394,-10.0339,-33333.3,-33333.3,1.25887,95.1777,0.5,0,20.291,15.396,5.21113,15.4782,-7.77524,2,0,0,1,-41.141
48,2013-02-18,00:00:00.00,0.817675,0,0,-15.5339,-20.5339,-10.5339,-15.5339,-33333.3,-33333.3,1.28454,95.0504,0.5,0,20.5187,15.6882,5.31026,13.5536,-7.81574,2,0,0,1,-64.3599
49,2013-02-19,00:00:00.00,0.834889,0,4.01899,-10.0339,-20.5339,0.466056,-10.0339,-33333.3,-33333.3,1.25887,95.1777,0.5,0,20.7487,15.7807,5.34215,15.4782,-7.77524,2,0,0,1,-42.0088
50,2013-02-20,00:00:00.00,0.852103,-2.22045e-15,3.01425,-2.28394,-6.03394,1.46606,-2.28394,-33333.3,-33333.3,1.22385,95.3486,0.5,0,20.9809,15.77,5.33928,18.5705,-7.54597,2,0.260046,0.260046,1,-9.6625
51,2013-02-21,00:00:00.00,0.869317,0,1.00475,-9.28394,-11.0339,-7.53394,-9.28394,-33333.3,-33333.3,1.25542,95.1947,0.5,0,21.2154,16.1566,5.47026,15.7574,-7.76229,2,0,0,1,-39.6893
52,2013-02-22,00:00:00.00,0.886532,0,0,-10.2839,-15.0339,-5.53394,-10.2839,-33333.3,-33333.3,1.26002,95.172,0.5,0,21.4519,16.3776,5.54547,15.386,-7.77915,2,0,0,1,-44.4259
53,2013-02-23,00:00:00.00,0.903746,4.44089e-16,0.803799,-6.53394,-12.5339,-0.533944,-6.53394,-33333.3,-33333.3,1.24291,95.2561,0.5,0,21.6903,16.4883,5.58353,16.8171,-7.69842,2,0.149397,0.149397,1,-28.5222
54,2013-02-24,00:00:00.00,0.92096,0,4.42089,-2.03394,-3.53394,-0.533944,-2.03394,-33333.3,-33333.3,1.22274,95.354,0.5,0,21.9307,16.5547,5.60665,18.6781,-7.53485,2,0.260046,0.260046,1,-8.97165
55,2013-02-25,00:00:00.00,0.938174,0,0,-3.53394,-5.53394,-1.53394,-3.53394,-33333.3,-33333.3,1.22942,95.3217,0.5,0,22.1729,16.8061,5.69214,18.0398,-7.59788,2,0.260046,0.260046,1,-15.7512
56,2013-02-26,00:00:00.00,0.955388,1.11022e-16,0.20095,-1.28394,-3.53394,0.966056,-1.28394,-33333.3,-33333.3,1.21941,95.37,0.5,0,22.4168,16.9347,5.73623,19.0042,-7.50003,2,0.260046,0.260046,1,-5.78242
57,2013-02-27,00:00:00.00,0.972603,-8.88178e-15,14.2674,-1.53394,-6.53394,3.46606,-1.53394,-33333.3,-33333.3,1.22052,95.3646,0.5,0,22.6623,17.1487,5.80911,18.895,-7.51189,2,0.260046,0.260046,1,-6.98031
58,2013-02-28,00:00:00.00,0.989817,0.348506,11.7085,0.216056,-1.03394,1.46606,0.216056,-33333.3,-33333.3,1.21278,95.4017,0.5,0,22.9094,17.2898,5.85745,19.6661,-7.42788,2,0.260046,0.260046,1,0.993426
59,2013-03-01,00:00:00.00,1.00703,0,0,-0.533944,-2.53394,1.46606,-0.533944,-33333.3,-33333.3,1.21609,95.3859,0.5,0,23.1579,17.526,5.93784,19.3349,-7.46295,2,0.260046,0.260046,1,-2.48042
60,2013-03-02,00:00:00.00,1.02425,0,0,-5.53394,-7.03394,-4.03394,-5.53394,-33333.3,-33333.3,1.23839,95.2781,0.5,0,23.4077,17.9025,6.06559,17.2168,-7.66859,2,0,0,1,-25.9735
61,2013-03-03,00:00:00.00,1.04146,0,0,-6.78394,-10.0339,-3.53394,-6.78394,-33333.3,-33333.3,1.24404,95.2506,0.5,0,23.6588,18.1492,6.14958,16.7184,-7.70532,2,0,0,1,-32.1681
62,2013-03-04,00:00:00.00,1.05867,0,0,-7.28394,-10.0339,-4.53394,-7.28394,-33333.3,-33333.3,1.2463,95.2395,0.5,0,23.911,18.3752,6.22658,16.5224,-7.71845,2,0,0,1,-34.8932
63,2013-03-05,00:00:00.00,1.07589,0,0,-7.53394,-12.0339,-3.03394,-7.53394,-33333.3,-33333.3,1.24744,95.2339,0.5,0,24.1643,18.5952,6.30158,16.4251,-7.72468,2,0,0,1,-36.4593
64,2013-03-06,00:00:00.00,1.0931,0,0,-6.03394,-13.0339,0.966056,-6.03394,-33333.3,-33333.3,1.24065,95.2671,0.5,0,24.4185,18.7669,6.36027,17.016,-7.68395,2,0,0,1,-29.4972
65,2013-03-07,00:00:00.00,1.11032,2.22045e-16,1.80855,-1.03394,-6.03394,3.96606,-1.03394,-33333.3,-33333.3,1.2183,95.3753,0.5,0,24.6735,18.8119,6.37622,19.1139,-7.48792,2,0.623123,0.623123,1,-5.1056
66,2013-03-08,00:00:00.00,1.12753,-1.11022e-16,0.602849,1.46606,-1.03394,3.96606,1.46606,-33333.3,-33333.3,1.20731,95.4279,0.5,0,24.9294,18.9225,6.4143,20.2101,-7.38284,2,0.898518,0.898518,1,7.31233
67,2013-03-09,00:00:00.00,1.14474,0,0,1.46606,-1.53394,4.46606,1.46606,-33333.3,-33333.3,1.20731,95.4279,0.5,0,25.1859,19.1365,6.48726,20.2101,-7.38284,2,0.898518,0.898518,1,7.38558
68,2013-03-10,00:00:00.00,1.16196,0,0,-1.03394,-8.03394,5.96606,-1.03394,-33333.3,-33333.3,1.2183,95.3753,0.5,0,25.4429,19.4558,6.59583,19.1139,-7.48792,2,0.623123,0.623123,1,-5.26055
69,2013-03-11,00:00:00.00,1.17917,2.61235,0,5.46606,-0.533944,11.4661,5.46606,-33333.3,-33333.3,1.18996,95.5102,0.5,0,25.7004,19.3663,6.5663,22.0318,-7.20425,2,0.898518,0.898518,1,28.0861
70,2013-03-12,00:00:00.00,1.19639,22.1045,0,5.21606,3.46606,6.96606,5.21606,-33333.3,-33333.3,1.19104,95.5051,0.5,0,25.9583,19.5938,6.64389,21.9142,-7.217,2,0.898518,0.898518,1,27.0654
71,2013-03-13,00:00:00.00,1.2136,-1.11022e-16,0.602849,0.466056,-0.0339442,0.966056,0.466056,-33333.3,-33333.3,1.21168,95.407,0.5,0,26.2164,20.0409,6.79566,19.774,-7.41927,2,0.898518,0.898518,1,2.44199
72,2013-03-14,00:00:00.00,1.23082,-1.11022e-16,0.602849,-3.28394,-5.03394,-1.53394,-3.28394,-33333.3,-33333.3,1.2283,95.3271,0.5,0,26.4747,20.4058,6.91964,18.1449,-7.58798,2,0.117706,0.117706,1,-17.3738
73,2013-03-15,00:00:00.00,1.24803,0,0,-7.03394,-11.5339,-2.53394,-7.03394,-33333.3,-33333.3,1.24517,95.245,0.5,0,26.7331,20.746,7.03534,16.6202,-7.71199,2,0,0,1,-37.5727
74,2013-03-16,00:00:00.00,1.26524,4.44089e-16,0.803799,-2.78394,-7.03394,1.46606,-2.78394,-33333.3,-33333.3,1.22607,95.3379,0.5,0,26.9915,20.8214,7.06154,18.3567,-7.56746,2,0.230021,0.230021,1,-15.0133
75,2013-03-17,00:00:00.00,1.28246,-2.22045e-16,1.2057,-4.03394,-8.53394,0.466056,-4.03394,-33333.3,-33333.3,1.23166,95.3109,0.5,0,27.2497,21.0838,7.15095,17.8311,-7.61696,2,0,0,1,-21.9614
76,2013-03-18,00:00:00.00,1.29967,0,0,-7.78394,-12.0339,-3.53394,-7.78394,-33333.3,-33333.3,1.24858,95.2283,0.5,0,27.5077,21.4215,7.26583,16.3283,-7.7307,2,0,0,1,-42.7774
77,2013-03-19,00:00:00.00,1.31689,1.77636e-15,3.21519,-5.78394,-12.0339,0.466056,-5.78394,-33333.3,-33333.3,1.23952,95.2726,0.5,0,27.7655,21.5772,7.3192,17.1162,-7.67638,2,0,0,1,-32.0842
78,2013-03-20,00:00:00.00,1.3341,-4.44089e-16,1.40665,-3.03394,-5.53394,-0.533944,-3.03394,-33333.3,-33333.3,1.22719,95.3325,0.5,0,28.0228,21.697,7.36041,18.2505,-7.57784,2,0.173863,0.173863,1,-16.9862
79,2013-03-21,00:00:00.00,1.35132,2.22045e-16,0.401899,-5.03394,-7.53394,-2.53394,-5.03394,-33333.3,-33333.3,1.23614,95.2891,0.5,0,28.2797,21.9852,7.45857,17.4196,-7.6523,2,0,0,1,-28.4436
80,2013-03-22,00:00:00.00,1.36853,8.88178e-16,1.6076,-6.53394,-12.0339,-1.03394,-6.53394,-33333.3,-33333.3,1.24291,95.2561,0.5,0,28.5359,22.2507,7.54908,16.8171,-7.69842,2,0,0,1,-37.2569
81,2013-03-23,00:00:00.00,1.38574,1.11022e-16,0.20095,-3.53394,-6.03394,-1.03394,-3.53394,-33333.3,-33333.3,1.22942,95.3217,0.5,0,28.7915,22.3619,7.58738,18.0398,-7.59788,2,0.0615485,0.0615485,1,-20.3335
82,2013-03-24,00:00:00.00,1.40296,0,0,-1.03394,-4.53394,2.46606,-1.03394,-33333.3,-33333.3,1.2183,95.3753,0.5,0,29.0464,22.4751,7.62635,19.1139,-7.48792,2,0.623123,0.623123,1,-6.00254
83,2013-03-25,00:00:00.00,1.42017,0,0,-2.28394,-6.53394,1.96606,-2.28394,-33333.3,-33333.3,1.22385,95.3486,0.5,0,29.3003,22.7405,7.71682,18.5705,-7.54597,2,0.342336,0.342336,1,-13.3776
84,2013-03-26,00:00:00.00,1.43739,0,0,0.716056,-3.53394,4.96606,0.716056,-33333.3,-33333.3,1.21059,95.4122,0.5,0,29.5534,22.8202,7.74445,19.8823,-7.41046,2,0.898518,0.898518,1,4.23118
85,2013-03-27,00:00:00.00,1.4546,0,0,2.46606,-1.03394,5.96606,2.46606,-33333.3,-33333.3,1.20295,95.4487,0.5,0,29.8054,22.9429,7.78666,20.6539,-7.34319,2,0.898518,0.898518,1,14.6993
86,2013-03-28,00:00:00.00,1.47181,0.348506,1.05814,0.216056,-2.53394,2.96606,0.216056,-33333.3,-33333.3,1.21278,95.4017,0.5,0,30.0563,23.2646,7.8962,19.6661,-7.42788,2,0.898518,0.898518,1,1.29902
87,2013-03-29,00:00:00.00,1.48903,0,0,1.46606,-1.53394,4.46606,1.46606,-33333.3,-33333.3,1.20731,95.4279,0.5,0,30.306,23.4124,7.94688,20.2101,-7.38284,2,0.898518,0.898518,1,8.88992
88,2013-03-30,00:00:00.00,1.50624,0,0,2.46606,-1.53394,6.46606,2.46606,-33333.3,-33333.3,1.20295,95.4487,0.5,0,30.5545,23.5678,13.8454,20.6539,-7.34319,2,0.898518,0.898518,1,15.0807
89,2013-03-31,00:00:00.00,1.52346,0,0,1.96606,-5.03394,8.96606,1.96606,-33333.3,-33333.3,1.20513,95.4383,0.5,0,30.8016,23.8004,20.0605,20.431,-7.36343,2,0.898518,0.898518,1,12.1241
90,2013-04-01,00:00:00.00,1.54067,2.4114,0.401899,2.96606,-0.533944,6.46606,2.96606,-33333.3,-33333.3,1.20078,95.4591,0.5,0,31.0473,23.9513,20.1761,20.8786,-7.32214,2,0.898518,0.898518,1,18.4428
91,2013-04-02,00:00:00.00,1.55789,-1.77636e-15,7.63609,-3.28394,-5.03394,-1.53394,-3.28394,-33333.3,-33333.3,1.2283,95.3271,0.5,0,31.2914,24.4532,20.6022,18.1449,-7.58798,2,0,0,1,-20.5873
92,2013-04-03,00:00:00.00,1.5751,8.88178e-16,1.6076,-4.53394,-7.53394,-1.53394,-4.53394,-33333.3,-33333.3,1.2339,95.3,0.5,0,31.534,24.7061,8.38815,17.6243,-7.6351,2,0,0,1,-28.6549
93,2013-04-04,00:00:00.00,1.59231,0,0,-4.78394,-8.03394,-1.53394,-4.78394,-33333.3,-33333.3,1.23502,95.2945,0.5,0,31.7749,24.9181,8.46062,17.5217,-7.64382,2,0,0,1,-30.4782
94,2013-04-05,00:00:00.00,1.60953,0,0,-0.283944,-7.53394,6.96606,-0.283944,-33333.3,-33333.3,1.21498,95.3912,0.5,0,32.0141,24.9267,8.46412,19.4462,-7.45008,2,0,0,1,-1.82334
95,2013-04-06,00:00:00.00,1.62674,0,0,0.466056,-1.53394,2.46606,0.466056,-33333.3,-33333.3,1.21168,95.407,0.5,0,32.2515,25.0883,8.5195,19.774,-7.41927,2,0,0,1,3.01641
96,2013-04-07,00:00:00.00,1.64396,0.0816252,0.320274,-0.533944,-8.03394,6.96606,-0.533944,-33333.3,-33333.3,1.21609,95.3859,0.5,0,32.487,25.3343,8.60344,19.3349,-7.46295,2,0,0,1,-3.48256
97,2013-04-08,00:00:00.00,1.66117,0,0,5.96606,-0.533944,12.4661,5.96606,-33333.3,-33333.3,1.1878,95.5203,0.5,0,32.7205,25.1581,8.54431,22.2683,-7.17809,2,1.99271,1.99271,1,39.2118
98,2013-04-09,00:00:00.00,1.67839,10.4494,0,4.46606,-0.0339442,8.96606,4.46606,-33333.3,-33333.3,1.19428,95.4899,0.5,0,32.9521,25.4473,21.4382,21.5646,-7.25396,2,0.975331,0.975331,1,29.5757
99,2013-04-10,00:00:00.00,1.6956,24.7168,0,6.71606,2.46606,10.9661,6.71606,-33333.3,-33333.3,1.18457,95.5355,0.5,0,33.1816,25.4881,21.4758,22.627,-7.13722,2,2.50141,2.50141,1,44.809
100,2013-04-11,00:00:00.00,1.71281,13.4636,0,3.71606,2.46606,4.96606,3.71606,-33333.3,-33333.3,1.19752,95.4745,0.5,0,33.4089,25.8729,21.7869,21.2194,-7.28899,2,0.46664,0.46664,1,24.9766
101,2013-04-12,00:00:00.00,1.73003,1.06581e-14,16.6788,-1.53394,-2.03394,-1.03394,-1.53394,-33333.3,-33333.3,1.22052,95.3646,0.5,0,33.634,26.3414,22.1949,18.895,-7.51189,2,0,0,1,-10.3852
102,2013-04-13,00:00:00.00,1.74724,4.02181,8.23612,-0.283944,-3.03394,2.46606,-0.283944,-33333.3,-33333.3,1.21498,95.3912,0.5,0,33.8569,26.4673,8.99096,19.4462,-7.45008,2,0,0,1,-1.93619
103,2013-04-14,00:00:00.00,1.76446,2.0095,0.401899,1.71606,0.466056,2.96606,1.71606,-33333.3,-33333.3,1.20622,95.4331,0.5,0,34.0774,26.5456,9.01805,20.3203,-7.37324,2,0,0,1,11.7851
104,2013-04-15,00:00:00.00,1.78167,0,0,1.96606,-1.53394,5.46606,1.96606,-33333.3,-33333.3,1.20513,95.4383,0.5,0,34.2956,26.7131,9.07542,20.431,-7.36343,2,0,0,1,13.5967
105,2013-04-16,00:00:00.00,1.79888,1.00475,0,8.46606,0.466056,16.4661,8.46606,-33333.3,-33333.3,1.17706,95.5704,0.5,0,34.5114,26.4541,22.3215,23.4816,-7.03401,2,2.71302,2.71302,1,58.9535
106,2013-04-17,00:00:00.00,1.8161,1.40665,0,8.71606,5.96606,11.4661,8.71606,-33333.3,-33333.3,1.17599,95.5754,0.5,0,34.7247,26.6095,22.4261,23.6058,-7.01836,2,2.71302,2.71302,1,61.1081
107,2013-04-18,00:00:00.00,1.83331,14.6693,0,5.96606,-1.03394,12.9661,5.96606,-33333.3,-33333.3,1.1878,95.5203,0.5,0,34.9354,26.9901,22.7219,22.2683,-7.17809,2,1.99271,1.99271,1,42.109
108,2013-04-19,00:00:00.00,1.85053,14.6693,0,13.7161,2.96606,24.4661,13.7161,-33333.3,-33333.3,1.15464,95.6729,0.5,0,35.1436,26.4957,22.3008,26.1999,-6.6556,2,2.71302,2.71302,1,97.4501
109,2013-04-20,00:00:00.00,1.86774,3.81804,0.803799,10.7161,5.46606,15.9661,10.7161,-33333.3,-33333.3,1.16744,95.6148,0.5,0,35.3491,26.9514,22.6707,24.6178,-6.88476,2,2.71302,2.71302,1,76.6323
110,2013-04-21,00:00:00.00,1.88496,1.11022e-16,0.20095,-1.78394,-3.53394,-0.0339442,-1.78394,-33333.3,-33333.3,1.22163,95.3593,0.5,0,35.552,27.9563,23.5004,18.7863,-7.52349,2,0,0,1,-12.8392
