time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,2013-01-01,00:00:00.00,---,---,0,107.636,0.958248,0,0,0,0,0,0,0,0,0,0,109.102,0,0,0
1,2013-01-02,00:00:00.00,0,0,9.95713e-18,108.078,0.479124,0,0,0,0,0,0,0,0,0,0,108.557,0,0.0663402,-0.479124
2,2013-01-03,00:00:00.00,0,0.20095,9.95713e-18,107.967,0.479124,0,0.00677607,0,0,0.00436837,0,0,0.189805,0,0,108.647,0.20095,0.177267,-0.479124
3,2013-01-04,00:00:00.00,0,0.602849,9.95713e-18,107.889,0.479124,0,0.0271043,0,0,0.0174735,0,0,0.759221,0,0,109.172,0.803799,0.255463,-0.479124
4,2013-01-05,00:00:00.00,0,0,9.95713e-18,107.828,0.479124,0,0.0271043,0,0,0.0174735,0,0,0.759221,0,0,109.111,0.803799,0.316399,-0.479124
5,2013-01-06,00:00:00.00,0,2.61235,9.95713e-18,107.781,0.479124,0,0.115193,0,0,0.0742623,0,0,3.22669,0,0,111.677,3.41614,0.362854,-0.479124
6,2013-01-07,00:00:00.00,0,2.0095,9.95713e-18,107.746,0.479124,0,0.182954,0,0,0.117946,0,0,5.12474,0,0,113.651,5.42564,0.398436,-0.479124
7,2013-01-08,00:00:00.00,0,0,9.95713e-18,107.721,0.479124,0,0.182954,0,0,0.117946,0,0,5.12474,0,0,113.626,5.42564,0.422884,-0.479124
8,2013-01-09,00:00:00.00,0,0,9.95713e-18,107.7,0.479124,0,0.182954,0,0,0.117946,0,0,5.12474,0,0,113.605,5.42564,0.444389,-0.479124
9,2013-01-10,00:00:00.00,0,0,9.95713e-18,107.683,0.479124,0,0.182954,0,0,0.117946,0,0,5.12474,0,0,113.588,5.42564,0.46122,-0.479124
10,2013-01-11,00:00:00.00,4.78812,0.23562,9.95713e-18,107.67,0.479124,0,0.313823,-1.425e-16,7.25182,0.227155,0,0.0891837,2.5674,0,0,118.598,10.4494,0.474525,-0.479124
11,2013-01-12,00:00:00.00,5.02374,0,9.95713e-18,107.659,0.479124,0,0.47095,-1.11358e-16,14.5336,0.336364,0,0.00443961,0.127807,0,0,123.611,15.4731,0.485165,-0.479124
12,2013-01-13,00:00:00.00,17.8845,0,9.95713e-18,107.65,0.479124,0,0.964528,2.35805e-16,31.668,0.725149,0,0,0,0,0,141.487,33.3576,0.493784,-0.479124
13,2013-01-14,00:00:00.00,4.82279,0,9.95713e-18,107.643,0.479124,0,1.16485,0,36.1856,0.82999,0,0,0,0,0,146.303,38.1804,0.500871,-0.479123
14,2013-01-15,00:00:00.00,0,0.20095,9.95713e-18,107.637,0.479124,0,1.18712,0,36.1701,0.834358,0,0,0.189805,0,0,146.498,38.3814,0.506805,-0.479123
15,2013-01-16,00:00:00.00,0,0,9.95713e-18,107.632,0.479124,0,1.20599,0,36.1512,0.834358,0,0,0.189805,0,0,146.493,38.3814,0.511873,-0.479123
16,2013-01-17,00:00:00.00,0,0,9.95713e-18,107.628,0.479124,0,1.22482,0,36.1324,0.834358,0,0,0.189805,0,0,146.488,38.3814,0.516294,-0.479122
17,2013-01-18,00:00:00.00,0,7.03324,9.95713e-18,107.627,0.479124,0,1.46199,0,36.1324,0.987251,0,0,6.83299,0,0,153.521,45.4146,0.517039,-0.479121
18,2013-01-19,00:00:00.00,0,0,9.95713e-18,107.625,0.479124,0,1.4746,0,36.1198,0.987251,0,0,6.83299,0,0,153.518,45.4146,0.519683,-0.47912
19,2013-01-20,00:00:00.00,0,3.61709,9.95713e-18,107.621,0.479124,0,1.60076,0,36.1156,1.06588,0,0,10.2495,0,0,157.132,49.0317,0.52342,-0.479103
20,2013-01-21,00:00:00.00,0,1.40665,9.95713e-18,107.62,0.479124,0,1.64909,0,36.1147,1.09646,0,0,11.5781,0,0,158.537,50.4384,0.524294,-0.479072
21,2013-01-22,00:00:00.00,0,0.401899,9.95713e-18,107.62,0.479124,0,1.66264,0,36.1147,1.1052,0,0,11.9577,0,0,158.939,50.8403,0.524294,-0.479072
22,2013-01-23,00:00:00.00,0,0.803799,9.95713e-18,107.62,0.479124,0,1.68975,0,36.1147,1.12267,0,0,12.717,0,0,159.743,51.6441,0.524294,-0.479072
23,2013-01-24,00:00:00.00,0,0.20095,9.95713e-18,107.62,0.479124,0,1.69652,0,36.1147,1.12704,0,0,12.9068,0,0,159.944,51.845,0.524294,-0.479072
24,2013-01-25,00:00:00.00,0,0,9.95713e-18,107.62,0.479124,0,1.69652,0,36.1147,1.12704,0,0,12.9068,0,0,159.944,51.845,0.524294,-0.479072
25,2013-01-26,00:00:00.00,0,1.00475,9.95713e-18,107.62,0.479124,0,1.7304,0,36.1147,1.14888,0,0,13.8558,0,0,160.949,52.8498,0.524294,-0.479072
26,2013-01-27,00:00:00.00,0,0,9.95713e-18,107.62,0.479124,0,1.7304,0,36.1147,1.14888,0,0,13.8558,0,0,160.949,52.8498,0.524294,-0.479072
27,2013-01-28,00:00:00.00,0,7.03324,9.95713e-18,107.62,0.479124,0,1.96757,0,36.1147,1.30177,0,0,20.499,0,0,167.982,59.883,0.524294,-0.479072
28,2013-01-29,00:00:00.00,0,3.21519,9.95713e-18,107.616,0.479124,0,2.08023,0,36.1105,1.37167,0,0,23.5359,0,0,171.194,63.0982,0.528031,-0.479062
29,2013-01-30,00:00:00.00,17.6836,0,1.93301e-17,108.17,1.13611,0,2.53494,0,59.5374,1.75608,11.018,0.155142,4.46619,0,0,188.774,80.7818,0.631544,-0.479062
30,2013-01-31,00:00:00.00,7.03324,0,-2.83917e-17,108.988,1.11706,0,2.99618,0,68.9265,1.90898,10.6985,0.0233328,0.6717,0,0,195.33,87.815,1.10832,-0.479062
31,2013-02-01,00:00:00.00,0,12.2579,3.54009e-16,109.312,1.04538,0,3.47953,0,68.9261,2.17545,9.49636,0,12.2732,0,0,206.708,100.073,1.98794,-0.479062
32,2013-02-02,00:00:00.00,0,2.61235,5.28973e-16,109.363,0.985045,0,3.56761,0,68.9261,2.23224,8.48452,0,14.7406,0,0,208.299,102.685,3.00991,-0.479062
33,2013-02-03,00:00:00.00,0,1.00475,1.66276e-16,109.316,0.931139,0,3.6015,0,68.9261,2.25408,7.58049,0,15.6896,0,0,208.299,103.69,4.01417,-0.479062
34,2013-02-04,00:00:00.00,0,1.2057,1.9091e-17,109.24,0.882976,0,3.64215,0,68.9261,2.28029,6.77279,0,16.8285,0,0,208.573,104.896,4.94607,-0.479062
35,2013-02-05,00:00:00.00,0,0.401899,2.96283e-17,109.158,0.839946,0,3.6557,0,68.9261,2.28902,6.05115,0,17.2081,0,0,208.128,105.298,5.79278,-0.479062
36,2013-02-06,00:00:00.00,0,1.2057,1.87175e-17,109.076,0.8015,0,3.69636,0,68.9261,2.31524,5.40639,0,18.3469,0,0,208.568,106.503,6.55865,-0.479062
37,2013-02-07,00:00:00.00,0,0,-6.5082e-17,108.995,0.767151,0,3.69636,0,68.9261,2.31524,4.83034,0,18.3469,0,0,207.877,106.503,7.25014,-0.479062
38,2013-02-08,00:00:00.00,0,17.0807,-5.19007e-17,108.919,0.736461,0,4.27232,0,68.9261,2.68655,4.31567,0,34.4804,0,0,224.336,123.584,7.87151,-0.479062
39,2013-02-09,00:00:00.00,0,12.8608,-1.70261e-16,108.848,0.709042,0,4.70598,0,68.9261,2.96612,3.85583,0,46.6279,0,0,236.639,136.445,8.42887,-0.479057
40,2013-02-10,00:00:00.00,0,0,-2.71978e-16,108.781,0.684544,0,4.70598,0,68.9261,2.96612,3.44499,0,46.6279,0,0,236.137,136.445,8.93146,-0.479057
41,2013-02-11,00:00:00.00,0,4.82279,-3.29263e-16,108.715,0.662656,0,4.86861,0,68.9261,3.07096,3.07792,0,51.1832,0,0,240.505,141.268,9.38611,-0.479057
42,2013-02-12,00:00:00.00,0.989012,2.02523,-2.83242e-16,108.638,0.629554,0,5.22662,0,69.8693,3.13649,2.52277,1.75513,51.33,0,0,243.108,144.282,9.7974,-0.479057
43,2013-02-13,00:00:00.00,0,0,-2.80979e-16,108.552,0.599978,0,5.53016,0,69.82,3.13649,2.02678,0,53.0851,0,0,242.75,144.282,10.1551,-0.479057
44,2013-02-14,00:00:00.00,0,0,-2.35278e-16,108.464,0.575207,0,5.80266,0,69.7708,3.13649,1.61136,0,53.0851,0,0,242.446,144.282,10.4593,-0.479057
45,2013-02-15,00:00:00.00,0,0,-2.50834e-16,108.377,0.553471,0,6.06774,0,69.7215,3.13649,1.24683,0,53.0851,0,0,242.189,144.282,10.7167,-0.479057
46,2013-02-16,00:00:00.00,0,1.00475,-2.19946e-16,108.292,0.534631,0,6.32339,0,69.7047,3.15833,0.930884,0,54.0341,0,0,242.978,145.287,10.9319,-0.479057
47,2013-02-17,00:00:00.00,0,1.40665,-2.25753e-16,108.225,0.528717,0,6.37082,0,69.7047,3.18891,0.831697,0,55.3627,0,0,244.213,146.693,11.1041,-0.479057
48,2013-02-18,00:00:00.00,0,0,-2.32296e-16,108.176,0.523433,0,6.37082,0,69.7047,3.18891,0.74308,0,55.3627,0,0,244.069,146.693,11.2473,-0.479057
49,2013-02-19,00:00:00.00,0,4.01899,-2.50099e-16,108.138,0.518712,0,6.50634,0,69.7047,3.27628,0.663904,0,59.1589,0,0,247.966,150.712,11.3693,-0.479057
50,2013-02-20,00:00:00.00,0,3.01425,-2.4267e-16,108.091,0.502995,0,6.83398,0,69.6945,3.3418,0.400329,0,62.0059,0,0,250.87,153.727,11.4797,-0.479057
51,2013-02-21,00:00:00.00,0,1.00475,-2.43949e-16,108.045,0.500451,0,6.86786,0,69.6945,3.36364,0.357674,0,62.955,0,0,251.785,154.731,11.5702,-0.479057
52,2013-02-22,00:00:00.00,0,0,-2.21769e-16,108.006,0.498179,0,6.86786,0,69.6945,3.36364,0.319563,0,62.955,0,0,251.705,154.731,11.6495,-0.479057
53,2013-02-23,00:00:00.00,0,0.803799,-2.23092e-16,107.964,0.489543,0,7.025,0,69.6885,3.38112,0.174729,0,63.7142,0,0,252.437,155.535,11.7218,-0.479057
54,2013-02-24,00:00:00.00,0,4.42089,-2.23045e-16,107.911,0.479172,0,7.35776,0,69.6786,3.47722,0.000813974,0,67.8899,0,0,256.795,159.956,11.7846,-0.479057
55,2013-02-25,00:00:00.00,0,0,-2.22907e-16,107.861,0.479134,0,7.40763,0,69.6293,3.47722,0.000176877,0,67.8899,0,0,256.744,159.956,11.8349,-0.479057
56,2013-02-26,00:00:00.00,0,0.20095,-2.23086e-16,107.822,0.479124,0,7.45785,0,69.5861,3.48159,0,0,68.0797,0,0,256.906,160.157,11.8743,-0.479057
57,2013-02-27,00:00:00.00,0,14.2674,-2.23086e-16,107.79,0.479124,0,7.94678,0,69.5782,3.79174,0,0,81.5559,0,0,271.142,174.424,11.9055,-0.479057
58,2013-02-28,00:00:00.00,0.348506,11.7085,-2.23086e-16,107.765,0.479124,0,8.35879,0,69.5699,4.05385,0,1.29804,91.649,0,0,283.174,186.481,11.9306,-0.479057
59,2013-03-01,00:00:00.00,0,0,-2.23086e-16,107.745,0.479124,0,8.40803,0,69.5207,4.05385,0,0.31323,92.6338,0,0,283.154,186.481,11.9509,-0.479057
60,2013-03-02,00:00:00.00,0,0,-2.23086e-16,107.734,0.479124,0,8.40803,0,69.5207,4.05385,0,0,92.9471,0,0,283.142,186.481,11.9622,-0.479057
61,2013-03-03,00:00:00.00,0,0,-2.23086e-16,107.725,0.479124,0,8.40803,0,69.5207,4.05385,0,0,92.9471,0,0,283.133,186.481,11.9713,-0.479057
62,2013-03-04,00:00:00.00,0,0,-2.23086e-16,107.717,0.479124,0,8.40803,0,69.5207,4.05385,0,0,92.9471,0,0,283.126,186.481,11.9786,-0.479057
63,2013-03-05,00:00:00.00,0,0,-2.23086e-16,107.711,0.479124,0,8.40803,0,69.5207,4.05385,0,0,92.9471,0,0,283.12,186.481,11.9845,-0.479057
64,2013-03-06,00:00:00.00,0,0,-2.23086e-16,107.706,0.479124,0,8.40803,0,69.5207,4.05385,0,0,92.9471,0,0,283.115,186.481,11.9895,-0.479057
65,2013-03-07,00:00:00.00,0,1.80855,-2.23086e-16,107.689,0.479124,0,8.53316,0,69.4565,4.09316,0,0,94.6553,0,0,284.906,188.29,12.007,-0.479057
66,2013-03-08,00:00:00.00,0,0.602849,-2.23086e-16,107.667,0.479124,0,8.7057,0,73.4053,4.10627,0,3.02304,88.1007,0,0,285.488,188.893,12.0285,-0.479057
67,2013-03-09,00:00:00.00,0,0,-2.22558e-16,107.763,0.611174,0,8.87587,0,78.1646,4.10627,2.21455,2.8104,80.9053,0,0,285.452,188.893,12.0646,-0.479057
68,2013-03-10,00:00:00.00,0,0,-2.36161e-16,107.917,0.569555,0,9.51098,0,78.0465,4.10627,1.51658,0.785223,82.9305,0,0,285.383,188.893,12.1331,-0.479057
69,2013-03-11,00:00:00.00,2.61235,0,-1.09135e-16,108.854,1.70188,0,10.435,0,84.4673,4.16305,20.5061,1.93003,55.5614,0,0,287.619,191.505,12.5096,-0.479057
70,2013-03-12,00:00:00.00,22.1045,0,3.19319e-16,111.386,3.79471,0,11.8536,0,90.2342,4.64358,55.6039,1.01387,29.187,0,0,307.717,213.61,14.5164,-0.479057
71,2013-03-13,00:00:00.00,0,0.602849,-1.62454e-16,113.112,3.44982,0,12.9047,0,91.4864,4.65668,49.8199,0.951059,27.3789,0,0,303.76,214.212,19.0763,-0.479057
72,2013-03-14,00:00:00.00,0,0.602849,3.0396e-16,113.102,3.12716,0,13.0449,0,91.4816,4.66979,44.4087,0,28.8994,0,0,298.733,214.815,24.7054,-0.479057
73,2013-03-15,00:00:00.00,0,0,6.84005e-17,112.875,2.84501,0,13.0449,0,91.4816,4.66979,39.6769,0,28.8994,0,0,293.492,214.815,29.9462,-0.479057
74,2013-03-16,00:00:00.00,0,0.803799,-2.83666e-16,112.628,2.58094,0,13.3166,0,91.462,4.68726,35.2484,0,29.6586,0,0,289.581,215.619,34.661,-0.479057
75,2013-03-17,00:00:00.00,0,1.2057,-4.07212e-16,112.392,2.35699,0,13.3572,0,91.462,4.71347,31.4927,0,30.7974,0,0,286.572,216.825,38.8766,-0.479057
76,2013-03-18,00:00:00.00,0,0,5.13695e-16,112.171,2.1569,0,13.3572,0,91.462,4.71347,28.1371,0,30.7974,0,0,282.795,216.825,42.6534,-0.479057
77,2013-03-19,00:00:00.00,0,3.21519,9.5179e-16,111.959,1.97813,0,13.4657,0,91.462,4.78336,25.1391,0,33.8343,0,0,282.622,220.04,46.0414,-0.479057
78,2013-03-20,00:00:00.00,0,1.40665,2.19484e-16,111.747,1.80936,0,13.69,0,91.4551,4.81394,22.3086,0,35.163,0,0,280.987,221.447,49.0834,-0.479057
79,2013-03-21,00:00:00.00,0,0.401899,3.20268e-16,111.543,1.66762,0,13.7036,0,91.4551,4.82268,19.9316,0,35.5426,0,0,278.667,221.848,51.8053,-0.479057
80,2013-03-22,00:00:00.00,0,1.6076,2.80521e-16,111.354,1.54098,0,13.7578,0,91.4551,4.85763,17.8079,0,37.061,0,0,277.834,223.456,54.245,-0.479056
81,2013-03-23,00:00:00.00,0,0.20095,1.79799e-16,111.17,1.42464,0,13.8304,0,91.4494,4.86199,15.8567,0,37.2508,0,0,275.844,223.657,56.4367,-0.479056
82,2013-03-24,00:00:00.00,0,0,4.4213e-16,110.96,1.29143,0,14.5578,0,91.3314,4.86199,13.6227,0,37.2508,0,0,273.876,223.657,58.404,-0.479056
83,2013-03-25,00:00:00.00,0,0,3.83198e-16,110.752,1.18704,0,14.9574,0,91.2666,4.86199,11.8721,0,37.2508,0,0,272.148,223.657,60.1329,-0.479056
84,2013-03-26,00:00:00.00,0,0,1.27968e-16,110.598,1.17374,0,16.0062,0,92.1579,4.86199,11.6491,1.01453,33.1299,0,0,270.591,223.657,61.689,-0.479056
85,2013-03-27,00:00:00.00,0,0,-2.97313e-16,110.901,1.74193,0,17.0549,0,93.7386,4.86199,21.1778,0.65331,18.8074,0,0,268.937,223.657,63.3431,-0.479056
86,2013-03-28,00:00:00.00,0.348506,1.05814,1.29181e-17,111.257,1.6077,0,18.0983,0,94.3381,4.89257,18.9268,0.644149,18.5436,0,0,268.308,225.064,65.3787,-0.479056
87,2013-03-29,00:00:00.00,0,0,1.55785e-16,111.418,1.8597,0,19.2874,0,95.0321,4.89257,23.1528,0.346367,9.97116,0,0,265.96,225.064,67.727,-0.479056
88,2013-03-30,00:00:00.00,0,0,3.99862e-16,111.523,1.71769,0,20.9115,0,94.9297,4.89257,20.7714,0.292066,8.40793,0,0,263.445,225.064,70.2416,-0.479056
89,2013-03-31,00:00:00.00,0,0,1.02616e-15,111.36,1.5518,0,22.6687,0,94.479,4.89257,17.9892,0.269589,7.76087,0,0,260.971,225.064,72.7157,-0.479056
90,2013-04-01,00:00:00.00,2.4114,0.401899,1.53563e-15,111.203,1.52041,0,24.4259,0,94.8858,4.95373,17.4628,0.23709,6.82529,0,0,261.514,227.877,74.9861,-0.479056
91,2013-04-02,00:00:00.00,0,7.63609,1.23231e-15,111.099,1.40946,0,24.6834,0,94.8858,5.11973,15.6021,0,14.275,0,0,267.075,235.513,77.0616,-0.479056
92,2013-04-03,00:00:00.00,0,1.6076,1.61191e-15,110.955,1.31033,0,24.7376,0,94.8858,5.15467,13.9397,0,15.7934,0,0,266.776,237.121,78.9678,-0.479056
93,2013-04-04,00:00:00.00,0,0,1.86076e-15,110.804,1.22177,0,24.7376,0,94.8858,5.15467,12.4544,0,15.7934,0,0,265.052,237.121,80.6925,-0.479056
94,2013-04-05,00:00:00.00,0,0,1.76667e-15,110.657,1.14264,0,24.7376,0,94.8858,5.15467,11.1274,0,15.7934,0,0,263.498,237.121,82.2459,-0.479056
95,2013-04-06,00:00:00.00,0,0,1.42021e-15,110.583,1.1749,0,24.7376,0,95.5605,5.15467,11.6685,0.329395,12.8566,0,0,262.065,237.121,83.6787,-0.479056
96,2013-04-07,00:00:00.00,0.0816252,0.320274,1.35506e-15,110.532,1.10076,0,24.7505,0,95.5605,5.16341,10.4252,0.0813278,13.485,0,0,261.098,237.523,85.0475,-0.479056
97,2013-04-08,00:00:00.00,0,0,1.63731e-15,110.53,1.24968,0,28.6477,0,94.8756,5.16341,12.9226,0.212019,6.10355,0,0,259.704,237.523,86.4417,-0.479056
98,2013-04-09,00:00:00.00,10.4494,0,1.75367e-15,110.923,1.66556,0,30.6428,0,95.3841,5.39057,19.897,0.157343,4.52956,0,0,268.59,247.972,88.0054,-0.479056
99,2013-04-10,00:00:00.00,24.7168,0,1.49418e-15,111.988,2.71367,0,35.6086,0,95.0188,5.92788,37.4743,0.074511,2.14501,0,0,290.95,272.689,90.3618,-0.479056
100,2013-04-11,00:00:00.00,13.4636,0,4.53045e-16,113.263,3.14333,0,36.7509,0,95.8698,6.22056,44.6799,0.0289785,0.834226,0,0,300.791,286.152,93.9852,-0.479056
101,2013-04-12,00:00:00.00,0,16.6788,7.07834e-16,113.756,2.85946,0,37.3133,0,95.8698,6.58313,39.9193,0,16.617,0,0,312.918,302.831,98.5367,-0.479056
102,2013-04-13,00:00:00.00,4.02181,8.23612,5.24779e-17,113.774,2.73911,0,37.6936,0,96.6203,6.8496,37.901,0.577225,24.3987,0,0,320.553,315.089,103.159,-0.479056
103,2013-04-14,00:00:00.00,2.0095,0.401899,1.56326e-15,114.112,3.1791,0,37.7584,0,97.3537,6.90202,45.2798,0.461866,13.2961,0,0,318.343,317.501,107.781,-0.479056
104,2013-04-15,00:00:00.00,0,0,1.67557e-15,114.702,3.45779,0,37.7584,0,97.8846,6.90202,49.9536,0.087146,2.50874,0,0,313.254,317.501,112.87,-0.479056
105,2013-04-16,00:00:00.00,1.00475,0,2.27457e-15,114.84,3.14385,0,43.0643,0,96.093,6.92386,44.6887,0,0,0,0,308.754,318.505,118.375,-0.479056
106,2013-04-17,00:00:00.00,1.40665,0,2.70774e-15,114.541,2.72797,0,48.3703,0,94.6399,6.95444,37.7142,0,0,0,0,304.948,319.912,123.588,-0.479056
107,2013-04-18,00:00:00.00,14.6693,0,3.26743e-15,114.537,3.04813,0,52.2982,0,94.5552,7.27333,43.0834,0,0,0,0,314.796,334.581,128.409,-0.479056
108,2013-04-19,00:00:00.00,14.6693,0,3.39308e-15,114.913,3.28879,0,57.6042,0,93.9444,7.59222,47.1193,0,0,0,0,324.462,349.251,133.412,-0.479056
109,2013-04-20,00:00:00.00,3.81804,0.803799,5.78167e-15,114.995,2.99528,0,62.9101,0,93.0498,7.6927,42.1971,0,0,0,0,323.84,353.872,138.656,-0.479056
110,2013-04-21,00:00:00.00,0,0.20095,5.92769e-15,114.786,2.72718,0,62.9169,0,93.0498,7.69706,37.701,0,0.189805,0,0,319.067,354.073,143.629,-0.479056
111,2013-04-22,00:00:00.00,0,0,6.92326e-15,114.523,2.48765,0,62.9169,0,93.2396,7.69706,33.6839,0,0,0,0,314.548,354.073,148.149,-0.479056
112,2013-04-23,00:00:00.00,0,0,6.14706e-15,114.167,2.1875,0,66.1508,0,91.6226,7.69706,28.6502,0,0,0,0,310.476,354.073,152.221,-0.479056
113,2013-04-24,00:00:00.00,0.602849,0,6.31287e-15,113.704,1.86413,0,71.4568,0,89.5594,7.71017,23.2272,0,0,0,0,307.521,354.676,155.778,-0.479056
114,2013-04-25,00:00:00.00,9.04274,0,6.09677e-15,113.424,1.92464,0,75.6856,0,90.2709,7.90675,24.2419,0,0,0,0,313.454,363.719,158.888,-0.479056
115,2013-04-26,00:00:00.00,2.4114,0,5.38179e-15,113.317,1.78778,0,75.9696,0,92.0237,7.95917,21.9468,0,0,0,0,313.004,366.13,161.75,-0.479056
116,2013-04-27,00:00:00.00,0,0,5.2046e-15,113.018,1.5622,0,79.2036,0,90.4067,7.95917,18.1637,0,0,0,0,310.314,366.13,164.44,-0.479056
117,2013-04-28,00:00:00.00,0,0,5.39947e-15,112.576,1.30546,0,84.5096,0,87.7537,7.95917,13.858,0,0,0,0,307.962,366.13,166.792,-0.479056
118,2013-04-29,00:00:00.00,7.23419,0,5.7174e-15,112.216,1.28237,0,89.8155,0,88.3054,8.11643,13.4709,0,0,0,0,313.207,373.365,168.781,-0.479056
119,2013-04-30,00:00:00.00,0,0,6.26301e-15,111.884,1.05545,0,95.1215,0,85.6524,8.11643,9.66524,0,0,0,0,311.495,373.365,170.493,-0.479056
120,2013-05-01,00:00:00.00,0,0,6.45019e-15,111.424,0.852704,0,100.427,0,82.9994,8.11643,6.2651,0,0,0,0,310.086,373.365,171.902,-0.479056
121,2013-05-02,00:00:00.00,0,0,6.38556e-15,110.758,0.516545,0,111.571,0,77.4183,8.11643,0.627562,0,0,0,0,309.008,373.365,172.98,-0.479056
122,2013-05-03,00:00:00.00,0,0,6.32746e-15,110.114,0.479124,0,117.78,0,71.8372,8.11643,0,0,0,0,0,308.327,373.365,173.661,-0.479056
123,2013-05-04,00:00:00.00,0,0,6.32746e-15,109.686,0.479124,0,123.361,0,66.2561,8.11643,0,0,0,0,0,307.899,373.365,174.089,-0.479056
124,2013-05-05,00:00:00.00,0,0,6.32746e-15,109.379,0.479124,0,128.942,0,60.675,8.11643,0,0,0,0,0,307.592,373.365,174.396,-0.479056
125,2013-05-06,00:00:00.00,0,0,6.32746e-15,109.135,0.479124,0,134.523,0,55.0939,8.11643,0,0,0,0,0,307.348,373.365,174.64,-0.479056
126,2013-05-07,00:00:00.00,0,0,6.32746e-15,108.925,0.479124,0,140.049,0,49.5681,8.11643,0,0,0,0,0,307.138,373.365,174.85,-0.479056
127,2013-05-08,00:00:00.00,0,0,6.32746e-15,108.736,0.479124,0,145.052,0,44.5647,8.11643,0,0,0,0,0,306.948,373.365,175.04,-0.479056
128,2013-05-09,00:00:00.00,0.803799,0,6.32746e-15,108.563,0.479124,0,149.58,0,40.8235,8.1339,0,0,0,0,0,307.579,374.168,175.212,-0.479056
129,2013-05-10,00:00:00.00,0.20095,0,6.32746e-15,108.405,0.479124,0,153.709,0,36.8912,8.13827,0,0,0,0,0,307.622,374.369,175.371,-0.479056
130,2013-05-11,00:00:00.00,23.1092,0,6.34268e-15,108.467,0.63885,0,155.888,0,54.3204,8.64063,2.67868,0,0,0,0,330.634,397.478,175.468,-0.479056
131,2013-05-12,00:00:00.00,0.20095,0,6.32524e-15,108.672,0.621831,0,155.893,0,54.5119,8.645,2.39326,0,0,0,0,330.737,397.679,175.565,-0.479056
132,2013-05-13,00:00:00.00,0,2.61235,6.26001e-15,108.776,0.606625,0,155.982,0,56.9793,8.70179,2.13826,0,0,0,0,333.183,400.292,175.732,-0.479056
133,2013-05-14,00:00:00.00,0,0,6.24679e-15,108.809,0.59304,0,155.982,0,56.9793,8.70179,1.91043,0,0,0,0,332.975,400.292,175.94,-0.479056
134,2013-05-15,00:00:00.00,0.803799,0,6.24441e-15,108.802,0.580902,0,156.002,0,57.7452,8.71926,1.70687,0,0,0,0,333.556,401.096,176.163,-0.479056
135,2013-05-16,00:00:00.00,0,0,6.26331e-15,108.636,0.479262,0,160.872,0,54.5799,8.71926,0.00232062,0,0,0,0,333.288,401.096,176.431,-0.479056
136,2013-05-17,00:00:00.00,0,0,6.26334e-15,108.437,0.479124,0,163.65,0,51.8041,8.71926,0,0,0,0,0,333.09,401.096,176.629,-0.479056
137,2013-05-18,00:00:00.00,0,0,6.26334e-15,108.349,0.479124,0,163.65,0,51.8041,8.71926,0,0,0,0,0,333.001,401.096,176.718,-0.479056
138,2013-05-19,00:00:00.00,0,0,6.26334e-15,108.202,0.479124,0,166.943,0,48.511,8.71926,0,0,0,0,0,332.854,401.096,176.865,-0.479056
139,2013-05-20,00:00:00.00,0,0,6.26334e-15,108.031,0.479124,0,171.839,0,43.6143,8.71926,0,0,0,0,0,332.683,401.096,177.036,-0.479056
140,2013-05-21,00:00:00.00,12.057,0,6.26334e-15,107.879,0.479124,0,176.679,0,50.5692,8.98136,0,0,0,0,0,344.588,413.153,177.188,-0.479056
141,2013-05-22,00:00:00.00,32.9557,0,6.25489e-15,108.378,1.23222,0,182.259,0,63.093,9.69778,12.6298,0,0,0,0,377.29,446.108,177.442,-0.479056
142,2013-05-23,00:00:00.00,2.21045,0,6.48349e-15,108.938,0.854644,0,193.421,0,59.6745,9.74583,6.29764,0,0,0,0,378.931,448.319,178.011,-0.479056
143,2013-05-24,00:00:00.00,2.8133,0,6.47465e-15,108.844,0.683136,0,198.357,0,59.9589,9.80699,3.42137,0,0,0,0,381.071,451.132,178.684,-0.479056
144,2013-05-25,00:00:00.00,0.20095,0,6.46286e-15,108.701,0.661398,0,198.362,0,60.1504,9.81135,3.05682,0,0,0,0,380.743,451.333,179.213,-0.479056
145,2013-05-26,00:00:00.00,0,0,6.56797e-15,108.608,0.641977,0,198.362,0,60.1504,9.81135,2.73112,0,0,0,0,380.305,451.333,179.651,-0.479056
146,2013-05-27,00:00:00.00,0,0,6.55263e-15,108.54,0.624625,0,198.362,0,60.1504,9.81135,2.44012,0,0,0,0,379.929,451.333,180.028,-0.479056
147,2013-05-28,00:00:00.00,3.01425,0,6.5402e-15,108.354,0.498789,0,202.552,0,60.98,9.87688,0.329799,0,0,0,0,382.592,454.347,180.379,-0.479056
148,2013-05-29,00:00:00.00,17.2817,0,6.44535e-15,108.369,0.795296,0,205.36,0,69.4731,10.2526,5.30236,0,0,0,0,399.553,471.629,180.7,-0.479056
